"","X.1","X","author_name","author_url","language","place_id","profile_photo_url","rating","relative_time_description","text","time","cleaned_text","text_tag","nooffoodtags","tag_american","tag_mediterranean","tag_caribbean","tag_vegan","tag_fast.food","tag_breweries","tag_sum","tag_bars","tag_french","tag_soup","tag_bagels","tag_vietnamese","tag_italian","tag_steakhouses","tag_burgers","tag_hawaiian","tag_chicken.wings","tag_middle.eastern","tag_comfort.food","tag_food.trucks","tag_salad","tag_southern","tag_karaoke","tag_sandwiches","tag_soul.food","tag_greek","tag_cheesesteaks","tag_poke","tag_vegetarian","tag_gluten.free","tag_desserts","tag_breakfast.brunch","tag_diners","tag_mexican","tag_tex.mex","tag_delis","tag_hot.dogs","tag_chinese","tag_barbeque","tag_buffets","tag_thai","tag_noodles","tag_wraps","tag_asian.fusion","tag_cafes","tag_donuts","tag_pizza","tag_japanese","tag_indian","tag_korean","tag_local.flavor","tag_seafood","Latitude","Longitude","state","city","zipCode","address","name"
"11",11,11,"david darnell","https://www.google.com/maps/contrib/101145805557899784350/reviews","en","ChIJVdwe4KFuK4cRDtCF7wXvMJ0","https://lh5.googleusercontent.com/-6trdiO9oIYY/AAAAAAAAAAI/AAAAAAAAAdI/12IzT2o0tZo/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg",5,"a month ago","greek pita is one of my favorites in north phoenix. food is always great, staff is always helpful and friendly. 
the gyros are tender and tasty, the hummus is smooth and flavorful, everything my family ever orders satisfies. those fries with the crispy coating are a great treat every time.
one word review is ""yyyyeeeessss!!""",1549663734,"greek pita one favorit north phoenix food alway great staff alway help friend gyro tender tasti hummus smooth flavor everyth famili ever order satisfi fri crispi coat great treat everi time one word review yyyyeeeessss"," greek",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6095993,-112.1192909,"AZ","phoenix","85053","2737 W Thunderbird Rd","greek pita"
"12",12,12,"nathan england","https://www.google.com/maps/contrib/110009890534584169242/reviews","en","ChIJVdwe4KFuK4cRDtCF7wXvMJ0","https://lh3.googleusercontent.com/-DJrCdWm-6WM/AAAAAAAAAAI/AAAAAAAAH8M/XTr7r7AU6Dg/s128-c0x00000000-cc-rp-mo/photo.jpg",5,"2 months ago","i have been eating here regularly for several years now. their menu is great and their food is fantastic. beyond this i must recognize their attention to detail. i have nightshade allergies and i order salads without tomato, bell peppers, banana peppers, no dressing, no paprika on rice, and other requests. i always feel like i'm butchering their menu because i request so many changes. my wife also orders and will have a few changes herself. they have never once gotten our order wrong or mixed up replacements or changes between us. it absolutely blows me away, when i can't get simple changes correct at chili's or olive garden these guys never fail. my go-to restaurant and favorite food hands down!",1547956182,"eat regular sever year menu great food fantast beyond must recogn attent detail nightshad allergi order salad without tomato bell pepper banana pepper dress paprika rice request alway feel like butcher menu becaus request mani chang wife also order chang never onc gotten order wrong mix replac chang us absolut blow away get simpl chang correct chili oliv garden guy never fail go restaur favorit food hand"," salad",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6095993,-112.1192909,"AZ","phoenix","85053","2737 W Thunderbird Rd","greek pita"
"13",13,13,"c evans","https://www.google.com/maps/contrib/108723545751844838467/reviews","en","ChIJVdwe4KFuK4cRDtCF7wXvMJ0","https://lh5.googleusercontent.com/-QxY3Qpg7SF0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdEQDFlhxEOvQVv0ZwPUiTMKFZr8Q/s128-c0x00000000-cc-rp-mo/photo.jpg",5,"3 months ago","great food and clean kitchen! i repair restaurant equipment and most commercial kitchens are absolutely disgusting. the greek pita is one of the few places i'll eat at because they clean regularly. 

(most other restaurants only clean once a month at best, so rotting food accumulates inside, underneath and behind their equipment.)",1546374526,"great food clean kitchen repair restaur equip commerci kitchen absolut disgust greek pita one place eat becaus clean regular restaur onli clean onc month best rot food accumul insid underneath behind equip"," greek",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6095993,-112.1192909,"AZ","phoenix","85053","2737 W Thunderbird Rd","greek pita"
"14",14,14,"vanessa c","https://www.google.com/maps/contrib/102848381455081567963/reviews","en","ChIJQ08rfIufVogRKtOx9OwB65M","https://lh5.googleusercontent.com/-hok7GvsIO60/AAAAAAAAAAI/AAAAAAAAM1s/eRBmuwkVHVg/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",5,"in the last week","i cannot tell you how often i have eaten here with it being so close to the hospital. their food is delicious and always consistent. my favorite things are the steak rolls ups and the chicken and orzo soup. you cannot go wrong with the zesty lemon cookie for dessert. the staff is always pleasant no matter what time of day. if you are in the charlotte midtown area and you've never eaten at a zoes you should check them out!",1554562593,"tell often eaten close hospit food delici alway consist favorit thing steak roll chicken orzo soup go wrong zesti lemon cooki dessert staff alway pleasant matter time day charlott midtown area never eaten zoe check"," soup",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2134002,-80.8350994,"NC","charlotte","28204","1121 Metropolitan Ave","zoës kitchen"
"15",15,15,"lisa contreras contreras","https://www.google.com/maps/contrib/115116047288007064104/reviews","en","ChIJQ08rfIufVogRKtOx9OwB65M","https://lh5.googleusercontent.com/-6oMgdYcIRNY/AAAAAAAAAAI/AAAAAAAAACE/sSSBxT8D4xc/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg",5,"2 weeks ago","great place for a quick bite of healthy mediterranean food. had chicken trio bowl. it was enough for 2 meals. very delicious.",1553205043,"great place quick bite healthi mediterranean food chicken trio bowl enough meal veri delici"," mediterranean",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2134002,-80.8350994,"NC","charlotte","28204","1121 Metropolitan Ave","zoës kitchen"
"16",16,16,"vee newton","https://www.google.com/maps/contrib/103977950776887278630/reviews","en","ChIJQ08rfIufVogRKtOx9OwB65M","https://lh4.googleusercontent.com/-nUU4BHXXBM4/AAAAAAAAAAI/AAAAAAAAjwM/A15Be_xjqRY/s128-c0x00000000-cc-rp-mo-ba2/photo.jpg",4,"6 months ago","service was great. i did have to wait longer then a lot of guest for my food. my coworker order after me in line as well as others and four people received their food before me. i order chicken kabobs, salad, & potatoes. my coworker had steak & received his order before me. needless to say i had to get up from the table and go inside to check on the wait. i did not get to eat my lunch with my coworker because by time i received my food it was too late to enjoy it. food was accurate & hot. just couldn't enjoy it. i commend you on having great servers.",1537892404,"servic great wait longer lot guest food cowork order line well four peopl receiv food befor order chicken kabob salad potato cowork steak receiv order befor needless say get tabl go insid check wait get eat lunch cowork becaus time receiv food late enjoy food accur hot enjoy commend great server"," salad",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2134002,-80.8350994,"NC","charlotte","28204","1121 Metropolitan Ave","zoës kitchen"
"17",17,17,"frank carr","https://www.google.com/maps/contrib/100479999056649219134/reviews","en","ChIJ7cS_6yWgVogRdftyxiP7Vyc","https://lh6.googleusercontent.com/-zaSTwU-wUaI/AAAAAAAAAAI/AAAAAAAAABw/NUQsjNWcRkc/s128-c0x00000000-cc-rp-mo/photo.jpg",1,"2 weeks ago","for the location and price, you would expect some standard of service. the front desk staff was hilariously unprofessional. the entry-level security guard told me my friend was ???tripping??? and ???cheap??? because she asked to correct the charges that they they got wrong. the wannabe eminem security guard is trash who seemed to love involving himself in the drama of the incompetence of the staff. this was after we waited 50 minutes for one cheese pizza & after going to ask about what???s taking so long, they said ???what pizza???. lol this place is a joke! literally the front desk help were snap chatting while taking my payment. 

management: ???????? kudos for employing this level of talent.",1553315859,"locat price would expect standard servic front desk staff hilari unprofession entri level secur guard told friend trip cheap becaus ask correct charg got wrong wannab eminem secur guard trash seem love involv drama incompet staff wait minut one chees pizza go ask take long said pizza lol place joke liter front desk help snap chat take payment manag kudo employ level talent"," pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.2252055,-80.8419058,"NC","charlotte","28202","210 E Trade St","strike city"
"18",18,18,"doug","https://www.google.com/maps/contrib/110278877502359599500/reviews","en","ChIJ7cS_6yWgVogRXRRNnThjBAY","https://lh4.googleusercontent.com/-mHmCENW1iF4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfZ7f02l_FwgVcG-6Rzyjic4OZAyA/s128-c0x00000000-cc-rp-mo-ba2/photo.jpg",4,"a week ago","i enjoyed this place. the food was great! i had the spicy fried chicken sandwich and was fairly impressed. make sure to order the french fries which were my favorite. the cocktails were nice too. i would definitely recommend blackfinn to my friends.",1553959201,"enjoy place food great spici fri chicken sandwich fair impress make sure order french fri favorit cocktail nice would definit recommend blackfinn friend"," french",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2251928,-80.8422334,"NC","charlotte","28202","255 E 4th St","blackfinn ameripub - charlotte (uptown)"
"19",19,19,"kimberly mobley","https://www.google.com/maps/contrib/107613962200501499333/reviews","en","ChIJ6QA5TymgVogRtwlZGipcwKc","https://lh6.googleusercontent.com/-Fu23Y3a5c5I/AAAAAAAAAAI/AAAAAAAAAIY/RfR34WzAztY/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg",5,"a week ago","start with the ceviche! its most delicious! then order any seafood on the menu...the fish is superb! and for dessert your must get the dark chocolate truffle. yum yum yum.",1553862239,"start cevich delici order ani seafood menu fish superb dessert must get dark chocol truffl yum yum yum"," seafood",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.2244149,-80.8482444,"NC","charlotte","28202","500 S Tryon St","halcyon flavors from the earth"
"20",20,20,"richard korzenko","https://www.google.com/maps/contrib/115643323586677664092/reviews","en","ChIJ6QA5TymgVogRtwlZGipcwKc","https://lh6.googleusercontent.com/-4aLc__MBDVA/AAAAAAAAAAI/AAAAAAAAA-E/rHc2nq_noQg/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",4,"in the last week","popped in for a quick late lunch while at the mint. i like the ambiance, bright, nice view of the city scape. no bad tables in the place. the service was great, prompt with attention. the butternut sqash soup was off the charts good. could have just had 3 bowls that. cast iron salad hit the spot as a follower. was quite full after that, so good portion sizes. my wife had the veggie wrap which was ok, though they did come with some mean fries. coffee and espresso were just ok as well. overall, it was above board, and we'll enjoyed.",1554257751,"pop quick late lunch mint like ambianc bright nice view citi scape bad tabl place servic great prompt attent butternut sqash soup chart good could bowl cast iron salad hit spot follow quit full good portion size wife veggi wrap ok though come mean fri coffe espresso ok well overal abov board enjoy"," salad soup",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2244149,-80.8482444,"NC","charlotte","28202","500 S Tryon St","halcyon flavors from the earth"
"21",21,21,"nour aqqad","https://www.google.com/maps/contrib/115123845683443799283/reviews","en","ChIJaU3FayWgVogRSbDBMGyJSPo","https://lh4.googleusercontent.com/-91v4AHuyIF4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcAJnW0r6kpM1uf9MLavk8U3O5Y0g/s128-c0x00000000-cc-rp-mo/photo.jpg",5,"a week ago","the food was absolutely amazing! i definitely recommend the french toast, and oh the mimosa flight is something you cannot beat! the staff were extra friendly and the manager made sure we had a wonderful time! i am waiting for my next trip to charlotte just to go back and visit my favorite brunch place ever!",1553741120,"food absolut amaz definit recommend french toast oh mimosa flight someth beat staff extra friend manag made sure wonder time wait next trip charlott go back visit favorit brunch place ever"," french",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2285482,-80.8430538,"NC","charlotte","28202","127 N Tryon St","5church charlotte"
"22",22,22,"??rendan m","https://www.google.com/maps/contrib/115918680966015911717/reviews","en","ChIJF3cGLSSgVogRR7MZV8SkKJw","https://lh5.googleusercontent.com/-f-z1TY7TUDc/AAAAAAAAAAI/AAAAAAAAACI/P7qN8HeaTLA/s128-c0x00000000-cc-rp-mo/photo.jpg",5,"3 months ago","place to fill your empty tummy! fresh and healthy!! #govegan",1544484398,"place fill empti tummi fresh healthi govegan"," vegan",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2244979,-80.84104,"NC","charlotte","28202","310 E Trade St","subway restaurants"
"23",23,23,"rose stone","https://www.google.com/maps/contrib/108332341012651330153/reviews","en","ChIJqwVx6VHEyIARfYnBVXjCGYU","https://lh5.googleusercontent.com/-vaT8A9Fefgo/AAAAAAAAAAI/AAAAAAAAf7k/Q7DLxkVEhbA/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",5,"a week ago","great buffet  low price 2 for one buffet with coupon small buffet but has everything you need to get full. with george the food critic! also has a day for asian cuisine, mexican cuisine and beef brisket night.",1553849179,"great buffet low price one buffet coupon small buffet everyth need get full georg food critic also day asian cuisin mexican cuisin beef brisket night"," mexican",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1137617,-115.1526489,"NV","las vegas","89169","4100 Paradise Rd","silver sevens hotel & casino"
