business_id,name,address,city,state,postal_code,stars,review_count,categories
MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,"2765 N Scottsdale Rd, Ste 105",scottsdale,AZ,85257.0,3.0,188,"Chinese, Restaurants"
4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,las vegas,NV,89169.0,4.5,3,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)"
y-1sMhUMubrHWdIW4FaE8w,Wendy's,2421 S Stoughton Rd,madison,WI,53716.0,2.5,7,"Fast Food, Sandwiches, Restaurants, Burgers"
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",las vegas,NV,89121.0,4.0,27,"Dive Bars, Food, Bars, Pubs, Restaurants, Nightlife, American (Traditional), Beer, Wine & Spirits"
CPgz4srKkE5u9aoBAOaQsA,Davidson Pizza Company,300 Mock Rd,davidson,NC,28036.0,3.5,23,"Chicken Wings, Pizza, Salad, Restaurants"
OwXMxqxIy4YoprAjnoUoiA,B & M Bar-B-Que Shaw,12700 Shaw Ave,cleveland,OH,44108.0,3.5,4,"Barbeque, Restaurants"
0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",las vegas,NV,89103.0,4.5,39,"Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
U3-kxz7NWq4ix4bPmKKQ0w,Aladdin's Eatery,8870 Mentor Ave,mentor,OH,44060.0,4.5,47,"Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern"
dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,1008 E Camelback Rd,phoenix,AZ,85014.0,3.5,563,"Restaurants, Pizza, Sandwiches, Italian"
c7JoAt6a3Ufkpn3TrGU23A,Santanas Mexican Food,1930 W Buckeye Rd,phoenix,AZ,85009.0,3.0,6,"Mexican, Restaurants"
q4P3WHwC0lFafwvTlkKMIw,Ron's Pizza Palace,1535 Lowrie St,pittsburgh,PA,15212.0,3.0,6,"Restaurants, Pizza"
hZj2HCiLae5-AxIp0im6lQ,Route 28 Bar & Grille,180 Gamma Dr,pittsburgh,PA,15238.0,2.5,7,"Bars, Nightlife, Restaurants, American (Traditional)"
vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,2340 E Baseline Rd,phoenix,AZ,85042.0,3.5,23,"Fast Food, Restaurants, Burgers, Food"
e-9f6vasnWh3z0uOq287Aw,Pizza Hut,"2835 N 16th St, Ste 103",phoenix,AZ,85006.0,2.0,14,"Restaurants, Italian, Pizza, Fast Food, Chicken Wings"
ItmLljzhwhuyyvekNs4Ymg,Jersey Mike's Subs,1601 Deming Way,middleton,WI,53562.0,4.0,20,"Fast Food, Restaurants, Delis, Sandwiches, Wraps"
jX9DocoiY4Bo9EUkaTSqvg,China AAA,10624 S Eastern Ave,henderson,NV,89052.0,4.5,149,"Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food"
ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,1909 E Ray Rd,chandler,AZ,85225.0,4.0,427,"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars"
iA9xu-6oOFynZQxO5qrauQ,DOC Holliday's Saloon,2551 Anthem Village Dr,henderson,NV,89052.0,3.0,3,"Nightlife, Restaurants, Bars"
mofOjB6flg-eAWOFbOkHfQ,ChinaTown Buffet,713 W Marketview Dr,champaign,IL,61822.0,2.5,72,"Sushi Bars, Buffets, Restaurants, Chinese"
El6Bum4I-0VWJRgzbtscJQ,Jimmy John's,12061 Perry Hwy,wexford,PA,15090.0,3.0,11,"Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis"
F6c3D1o9Z4Tl6cDorb3WgA,Hello Bistro,701 Providence Blvd,pittsburgh,PA,15237.0,3.5,75,"Burgers, Restaurants, Cafes, Salad, Sandwiches"
JO5_Frcbp9J732VNn-I3Ew,Steak ’n Shake,3316 Center Rd,brunswick,OH,44212.0,2.0,44,"American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)"
Ye6Bdtw2lq5Y6FeX-p377Q,Veltree,"7945 N Tryon St, Unit 110",charlotte,NC,28262.0,4.5,7,"Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies"
_WyTVGIhZIqesE4DLrcTvA,Ron's Restaurant,3621 Old Charlotte Hwy,monroe,NC,28110.0,4.0,11,"Burgers, Restaurants, American (Traditional)"
UdL8Z06DaNj6qhen0fEH9A,Mariscos El Dorado Sin,5630 S Central Ave,phoenix,AZ,85040.0,2.0,7,"Mexican, Restaurants, Seafood"
6XImdD5qH_LFZhHeLjLaGQ,Arbys Restaurant Higley Rd,1927 N Higley Rd,mesa,AZ,85205.0,3.0,8,"Sandwiches, Fast Food, Restaurants"
m4DwPVxmFDQE_FnGIOa3cQ,Sunny China Buffet,1703 Philo Rd,urbana,IL,61802.0,3.5,15,"Buffets, Chinese, Restaurants"
UPh90LM8UMnVFQP6NGktrA,Cakes On the Move,1211 Santa Helena Ave,henderson,NV,89002.0,5.0,57,"Restaurants, Bakeries, Food"
hXzoNgpkC86K_Jfg_zMHvA,PHO KC,"18555 N 59th Ave, Ste 130",glendale,AZ,85308.0,4.5,96,"Vietnamese, Restaurants"
dtpFxDbBTBl90NyttDqoMg,2 Girls' Cafe & Bakery,3707 Darrow Rd,stow,OH,44224.0,4.0,16,"Food, Restaurants, Bakeries, Cafes"
GiTv0gFXtYFQAzCXnPvepQ,Chili's,5521 Westpark Dr,charlotte,NC,28217.0,2.5,48,"Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife"
tylsscXmLq03-DzGI36bIA,Squaw Peak Cafe,2333 E Thomas Rd,phoenix,AZ,85016.0,3.5,8,"Restaurants, Sandwiches, Salad, Pizza"
HqerocZHKSRFD8NTrIkbaw,Taxco Mexican Grill,7106 Brighton Park Dr,mint hill,NC,28227.0,3.0,52,"Restaurants, Mexican"
3-aEgS7X2jrbxA7sA1nARw,La Flor De Calabaza,"705 N 1st St, Ste 110",phoenix,AZ,85004.0,3.0,90,"Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants"
k2b3niokS_tosjah_rzCPw,Metro Pizza,6720 Sky Pointe Dr,las vegas,NV,89131.0,3.5,303,"Restaurants, Pizza"
lK-wuiq8b1TuU7bfbQZgsg,Hingetown,,cleveland,OH,44113.0,3.0,4,"Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists"
QcUKFdAWxFq42-zE96cS-A,Pita Pit,"3816 Sardis Church Rd, Ste 101",indian trail,NC,28079.0,4.0,34,"Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches"
QS3QxI7u5PRdtbGgI0-UsA,Sakana Sushi & Grill,"6989 N Hayden Rd, Ste A12",scottsdale,AZ,85250.0,4.0,347,"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese"
ZBE-H_aUlicix_9vUGQPIQ,Hickory Tavern,9010 Harris Corners Pkwy,charlotte,NC,28269.0,3.0,100,"Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife"
AMN3Sgns9tB2x-b3eWk0qQ,Noodles Ranch,"2765 N Scottsdale Rd, Ste 107",scottsdale,AZ,85257.0,4.0,457,"Vietnamese, Restaurants"
yGMCl0vYigshkXiZFIDTNw,Mimi's Cafe,7450 W Bell Rd,glendale,AZ,85308.0,3.0,184,"Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French"
yuhnMOLGmXHhQxyp1V_rBw,Genghis Grill,9727 E Independence Blvd,matthews,NC,28105.0,3.5,84,"Do-It-Yourself Food, Asian Fusion, Chinese, Mongolian, Food, Restaurants"
rwscnQMpddjkVNaJQhNuHw,Birrieria Obregon,2500 N 35th Ave,phoenix,AZ,85009.0,4.0,24,"Mexican, Restaurants"
p8u03IURLPg_5jYSY3OmMQ,Farmer Boy,610 E Cuyahoga Falls Ave,akron,OH,44310.0,3.0,34,"American (New), Restaurants"
dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,las vegas,NV,89109.0,3.5,115,"Fast Food, Mexican, Restaurants"
uNtO37bzsKCHaRUpLm4Qzw,Subway,15508 W Bell Rd,surprise,AZ,85374.0,3.0,4,"Sandwiches, Fast Food, Restaurants"
iW0_acsRQtjlpE_8O6l1_Q,The Roman Candle Pizzeria,2685 Research Park Dr,fitchburg,WI,53711.0,3.0,56,"Restaurants, Pizza"
221yaXPE1zmJqDvBVM__tw,Baskin-Robbins,"15530 W Roosevelt St, Ste E105",goodyear,AZ,85338.0,2.5,26,"American (Traditional), Ice Cream & Frozen Yogurt, Food, Restaurants"
3KzzG6dw5aN9eIo3cGHaSA,Steak ’n Shake,5051 Som Center Rd,willoughby,OH,44094.0,2.5,43,"Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners"
pvKp4m3eFeHv15kYZaq1Bw,Papa John's,113 Cavasina Dr,canonsburg,PA,15317.0,1.5,10,"Restaurants, Pizza"
RGK23CEkDfYHWtUbRhA-bQ,The Turnhouse Grille,"1600 E Woodlawn Rd, Ste 100",charlotte,NC,28209.0,4.5,102,"Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife"
-bd4BQcl1ekgo7avaFngIw,Eggstasy,6990 E Shea Blvd,scottsdale,AZ,85254.0,3.5,646,"Diners, Breakfast & Brunch, Restaurants"
Ya-HZZrzMWYSBtGyLajDQg,Nathan's Famous,1038 State Rt 11,champlain,NY,12919.0,4.0,4,"Convenience Stores, Hot Dogs, Gas Stations, Burgers, Automotive, Food Stands, Restaurants, Comfort Food, Food, Fast Food"
cmsAFAymfVoBitSF8R6GKw,Yao Fine Chinese Cuisine,"2487 S Gilbert Rd, Ste 102",gilbert,AZ,85295.0,4.0,200,"Chinese, Restaurants"
R_18EYQLNho8-xH6FTRymw,Long Wong's Famous Wings,5642 N 27th Ave,phoenix,AZ,85017.0,3.0,8,"Pizza, Chicken Wings, Burgers, Restaurants"
MDJqm5KN1hFWm4R2VtNIlw,Waffle House,8220 Pineville Matthews Rd,pineville,NC,28134.0,3.5,33,"Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers"
Um2H2xUT0eamjN6ivIUAiA,Ben & Jerry's,202 S Main St,davidson,NC,28036.0,4.5,10,"Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services"
i68lkBrGgUVwOk-LSvMj_A,Sree's Foods,116 Meyran Ave,pittsburgh,PA,15213.0,3.0,8,"Pakistani, Indian, Restaurants, Food"
ol2r325YnfuHcq7yeO3vdg,Subway,"10659 Grand Ave, Ste 2",sun city,AZ,85351.0,2.0,13,"Sandwiches, Fast Food, Restaurants"
MYMoho8uONfkTvaVNL-pVQ,JC's Restaurant,13816 W Center St,burton,OH,44021.0,3.5,35,"Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants"
U9vCFCDQMQ8GFr5z48h8tQ,Nancy B's Bakery,415 7th Ave,west homestead,PA,15120.0,5.0,56,"Bakeries, Food, Restaurants"
9vub2LM7Djy8P-LPumcLXA,Tacos Chiwas,1923 E Mcdowell Rd,phoenix,AZ,85006.0,4.5,453,"Restaurants, Latin American, Mexican, Tacos"
r80qDv4gFhnixb2GRUmKeQ,Jet's Pizza,5344 Pearl Rd,parma,OH,44129.0,4.0,22,"Restaurants, Pizza, Chicken Wings, Sandwiches"
ILA41PhErg4bl1royzDX4g,S & V Urban Italian,"9343 E Shea Blvd, Ste 100",scottsdale,AZ,85260.0,4.0,105,"Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian"
UmFty_GxdqVe35apYnmGbw,Showcase Pizza,109 Curry Hollow Rd,pittsburgh,PA,15236.0,3.0,8,"Pizza, Restaurants"
JrrY4v21k7_qYxIidhi-aw,Kelly's Bar & Lounge,6012 Penn Cir S,pittsburgh,PA,15206.0,3.5,166,"Lounges, Nightlife, American (Traditional), Bars, Restaurants"
hgQOESYp7CF4LnNI90XEiw,800 Degrees,2535 Las Vegas Blvd S,las vegas,NV,89109.0,3.5,296,"Pizza, Salad, Restaurants, Italian"
bX4gfj2Kj22Lwm-nSsnnfg,Ferrucci's Old Tyme Italian Market,20910 Torrence Chapel Rd,cornelius,NC,28031.0,4.5,59,"Event Planning & Services, Meat Shops, Italian, Caterers, Restaurants, Grocery, Specialty Food, Delis, Food"
zUHIDqm_UKdnSygmWKtyRg,Food Lion,3207 Eastway Dr,charlotte,NC,28205.0,3.0,5,"Delis, Restaurants"
1nF8Me63cpxIkFK8Ysx-DA,Shabu Shabu Paradise,"1716 W Horizon Ridge Pkwy, Ste 110",henderson,NV,89012.0,4.5,248,"Fondue, Japanese, Restaurants"
giCq1MmW-_S2tvNOAHvJcQ,Tarbell's The Tavern,3209 E Camelback Rd,phoenix,AZ,85018.0,4.0,107,"American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars"
QSGerT1enEKlvJnYkwthHQ,Claim Jumper Restaurant & Saloon,10125 W McDowell Rd,avondale,AZ,85392.0,2.5,236,"Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood"
BpJDI4Fj92lLNALQQeLvLg,Slice On Broadway,115 Federal St,pittsburgh,PA,15212.0,4.0,43,"Pizza, Sandwiches, Salad, Restaurants"
F06m2yQSPHIrb1IT7heYeQ,Rainbow Kitchen,7537 S Rainbow Blvd,las vegas,NV,89139.0,4.0,101,"Chinese, Seafood, Cantonese, Noodles, Restaurants"
EJShgTy1lEkp48RLkMt1ag,Jack-In-the Box Drive Thru,5447 W Glendale Ave,glendale,AZ,85301.0,2.0,11,"Burgers, Restaurants"
HGc61UN2Gr9RGQXC6mXFNQ,Swirl Wine Bar,33325 Bainbridge Rd,solon,OH,44139.0,4.0,71,"Wine Bars, Nightlife, American (New), Restaurants, Bars, Tapas/Small Plates"
GvEjbCm5sNdLZ4fzJ9hvUQ,Bahia De Kino,1040 W Broadway Rd,mesa,AZ,85210.0,3.0,7,"Restaurants, Mexican, Seafood"
CGUK3cd2gxp2q3KPY19Oog,Roots Cafe,"2135 Southend Dr, Ste 109",charlotte,NC,28203.0,4.0,104,"Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food"
TNQMnauUy5jposO9P6WcJQ,Farmer Boy Restaurant,46323 Telegraph Rd,amherst,OH,44001.0,4.5,3,"Salad, Restaurants, Burgers, Breakfast & Brunch"
WZe-1SFcErsOT7gZY_x6wQ,Denny's,14799 W Grand Ave,surprise,AZ,85374.0,2.5,57,"Restaurants, Diners, Breakfast & Brunch, American (Traditional)"
IcHVYlgNGR-Zz8fnceiJ6g,The Monkey Bar,703 Clairton Blvd,pittsburgh,PA,15236.0,4.0,26,"Restaurants, American (Traditional), Bars, Nightlife"
vrSJPjntzfCPgogFPSCHiA,Don Patron,"9800 State Rt 14, Ste E",streetsboro,OH,44241.0,4.0,48,"Mexican, Food, Ethnic Food, Restaurants, Specialty Food, Imported Food"
qOuyItOatd-TF5kzhUlA9g,Starbucks,4815 E. Carfree highway,cave creek,AZ,85331.0,4.5,11,"Restaurants, Food, Coffee & Tea"
H2Chxto2e6dHTDJ8-s3-pQ,Roberto's Taco Shop,2685 S Eastern Ave,las vegas,NV,89169.0,3.0,64,"Mexican, Fast Food, Restaurants"
ncXQtqJT5Gk1QztwTrBrgw,New York Bagels 'N Bialys,10320 N Scottsdale Rd,scottsdale,AZ,85253.0,4.0,307,"Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels"
aXsmmtepl0JZNcl3pkXqww,Sacks Sandwiches - Hardy,839 W University Dr,tempe,AZ,85281.0,4.0,100,"Fast Food, Sandwiches, Restaurants, American (New)"
sMzNLdhJZGzYirIWt-fMAg,Sienna Mercato,942 Penn Ave,pittsburgh,PA,15222.0,4.0,752,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants"
jwRBWbgTuiaQUrv-FpT8uw,Foote's Valley Farm,5860 Canal Rd,valley view,OH,44125.0,3.5,3,"Fruits & Veggies, Delis, Restaurants, Bakeries, Specialty Food, Farms, Arts & Entertainment, Food"
VVLGIq6ksrgGSfi7VBTmpg,America Cafe,,las vegas,NV,,4.0,8,"Restaurants, American (Traditional)"
ZRdHKIjiIa0k5-ufCLyIaQ,Denny's,2525 W Deer Valley Rd,phoenix,AZ,85027.0,2.5,48,"American (Traditional), Breakfast & Brunch, Diners, American (New), Restaurants"
FKQUxOfW_W5R4OTut4G1Vw,Peppi's,12 Smithfield St,pittsburgh,PA,15222.0,4.0,37,"Restaurants, Sandwiches"
uwpPniaFEVkK5T_PWdQZ0A,Le Peep,8140-100 Providence Rd,charlotte,NC,28277.0,3.5,134,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food"
-pKhASvKFolihdipQfQXyA,Rally's,711 Cleveland Street,elyria,OH,44035.0,4.0,5,"Burgers, Fast Food, Restaurants"
yKpdzrqe_qIbu9dB6bj9Gg,PGA Tour Grill,5757 Wayne Newton Blvd,las vegas,NV,89119.0,2.5,80,"American (Traditional), Restaurants, Bars, Nightlife"
kKTXiGVLEVpPA7r2R6baVw,Uncle Joe's Bar & Grill,6211 W 130th St,parma heights,OH,44130.0,4.0,11,"Beer Bar, Beer, Wine & Spirits, Restaurants, American (New), Nightlife, Bars, Food"
cs1qJvnWUg_f8g020z_3PQ,Pizzeria Bianco,4743 N 20th St,phoenix,AZ,85016.0,3.5,579,"Tapas/Small Plates, Italian, Pizza, Restaurants"
lXCmTGagqHuPgaeN2g2P1Q,Marcos Pizza,5061 E Sahara Ave,las vegas,NV,89142.0,3.5,39,"Restaurants, Pizza"
tk7__jHNlFMsfShjv5CJNQ,Prince Restaurant,"6795 W Flamingo Rd, Ste A",las vegas,NV,89103.0,4.0,35,"American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants"
9E1q2uEMd881wnruicNTUA,Buffalo Wild Wings,8870 E Indian Bend Rd,scottsdale,AZ,85250.0,3.0,133,"Sports Bars, Nightlife, Chicken Wings, Restaurants, Bars, American (Traditional)"
nxeeZnumQkrEFORtFpwSvA,Tavern In The Wall,211 Commercial Ave,pittsburgh,PA,15215.0,3.5,28,"Nightlife, Restaurants, Bars, Burgers, Delis"
5G9aIrRiCD4TZCC5j2D39A,Dunkin' Donuts,541-543 Carnot Rd,moon,PA,15108.0,4.0,8,"Bagels, Donuts, Coffee & Tea, Breakfast & Brunch, Restaurants, Food"
BxRsg5YTYnxXEhoGcabydg,Wandering Donkey,,cave creek,AZ,85331.0,3.0,20,"Mexican, Restaurants, Food, Food Trucks"
TreYsBGjXptogQQmQh1-bg,Showmars - Seventh Street,2004 E 7th St,charlotte,NC,28204.0,3.0,37,"Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean"
nYvBZYg9rfqWFTYuxSVMdw,Cantina Laredo,2004 Crocker Rd,westlake,OH,44145.0,4.0,62,"Mexican, Bars, Restaurants, Vegetarian, Nightlife"
K0dp91jd_vqW4uNgvW6oag,Valliant's Diner,3418 Babcock Blvd,pittsburgh,PA,15237.0,3.0,32,"Restaurants, Breakfast & Brunch"
qjuxlHtv_woIw9zPVWri5A,Daisy Mountain Coffee Roasters,"3170 W Carefree Hwy, Ste 7",phoenix,AZ,85086.0,4.0,81,"Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Internet Cafes, Food"
JGXkldESnG69YXlSNVAgJQ,Eggheads,1162 Brookline Blvd,pittsburgh,PA,15226.0,2.0,3,"Restaurants, American (Traditional), Nightlife, Bars"
nrahyQyopCtajDqUtVVVfA,The Sushi,16 W Horizon Ridge Pkwy,henderson,NV,89012.0,3.5,190,"Japanese, Sushi Bars, Restaurants"
tK-PQOhZo94fonbQVXaOSg,King Wok,"860 E Warner Rd, Ste 102",gilbert,AZ,85296.0,4.0,128,"Chinese, Restaurants"
HbK6IfznbVToEaKVC0WcSg,The Clark Bar,207 W Clark St,champaign,IL,61820.0,3.5,24,"Karaoke, American (Traditional), Nightlife, Tapas Bars, Restaurants"
eU_713ec6fTGNO4BegRaww,La Tavola Italiana,1 Boggs Ave,pittsburgh,PA,15211.0,3.5,132,"Restaurants, Italian, Pizza"
u5Wuzp8uC79IuCglLHXpag,Casa Del Sole Pizza,222 1st St,aspinwall,PA,15215.0,4.0,18,"Pizza, Restaurants"
mXyLqsbe7FT1X8ZFOP8WpQ,Blue 32 Sports Grill,1524 E Williams Field Rd,gilbert,AZ,85295.0,4.0,369,"American (New), Nightlife, Restaurants, Sports Bars, Bars"
SAfuIUZMXrOnb3LWyvYjDA,Jun's Korean Restaurant,"8826 S Eastern Ave, Ste 113",las vegas,NV,89123.0,3.5,292,"Korean, Restaurants"
VUbACJQR-_dVwyPYMFSodg,Takara 88,"1900 Cayuga St, Ste 101",middleton,WI,53562.0,4.0,66,"Bars, Nightlife, Japanese, Sushi Bars, Lounges, Restaurants, Asian Fusion"
h1JiQERQeiV8kxv5KRjWYA,Fresh Attractions,5501 Josh Birmingham Pkwy,charlotte,NC,28208.0,2.5,35,"Restaurants, Sandwiches"
zzwhN7x37nyjP0ZM8oiHmw,Carmody's Grille,4905 Grand Ave,pittsburgh,PA,15225.0,4.0,54,"Restaurants, American (New)"
Gf40Ghm5UXOPjyeURX7s8g,Sully's Irish Pub,117 W Liberty St,medina,OH,44256.0,4.0,80,"Nightlife, Bars, Restaurants, Irish, Pubs"
v7UIeEvwNd3fleFE6icm3A,Tacos Culichi,3004 E McDowell Rd,phoenix,AZ,85008.0,5.0,6,"Hot Dogs, Mexican, Restaurants, Tacos"
ecSkjwRS0Fn5NMkp-XwFuA,JP's Dog House,16th St & Bethany Home Rd,phoenix,AZ,85016.0,5.0,5,"Barbeque, Restaurants, Hot Dogs, Food Stands, American (New)"
aidcfUzZLOjWgwlxfv3UlA,Tony Big's Pizza N Pasta,7150 S Durango Dr,las vegas,NV,89113.0,3.0,106,"Italian, Pizza, Restaurants"
bGno_WKbepp48eqgUfRHMA,Lomi Poki,"15577 N Hayden Rd, Ste c103",scottsdale,AZ,85260.0,4.5,55,"Food, Hawaiian, Salad, Restaurants, Seafood, Sushi Bars, Asian Fusion, Poke"
sQ6DZZLLJRfwUr0eDWKDDg,Tott's Asian Diner,"4030 W Ray Rd, Ste 1",chandler,AZ,85226.0,4.0,416,"Restaurants, Chinese, Asian Fusion"
W3ia8dkoGGRYEfFg_BiyPg,Einstein Bros Bagels,"7291 S Eastern Ave, Ste A",las vegas,NV,89119.0,2.5,82,"Restaurants, Pizza, Food, Bagels, Sandwiches, Breakfast & Brunch"
H9joK3yIE8CHkUPUwQmdLQ,Uncle Bo's Slow-n-low,8820 Bender Rd,north ridgeville,OH,44039.0,3.0,4,"Restaurants, Barbeque"
U8ubLSxnCKRAJRmN1XWZaA,Oak Steakhouse Charlotte,4777 Sharon Rd,charlotte,NC,28210.0,4.0,102,"Steakhouses, Restaurants"
o9nGD3J0btXjE9M6IdgZTA,McAlister's Deli,421 Town Center Rd,champaign,IL,61820.0,3.0,50,"Salad, Delis, Restaurants, Sandwiches, Food"
9IJ-TE4HEcAJQkUtc1A_Vw,Parallax Restaurant and Lounge,2179 W 11th St,cleveland,OH,44113.0,4.0,207,"Restaurants, Asian Fusion, Sushi Bars, Thai"
