"","Checkin_2010","Checkin_2011","Checkin_2012","Checkin_2013","Checkin_2014","Checkin_2015","Checkin_2016","Checkin_2017","Checkin_2018"
"126",0,0,241,419,285,366,163,116,113
"127",24,572,1424,1691,1530,964,680,411,231
"128",29,105,139,146,162,176,113,54,34
"129",2,1,4,7,3,7,5,14,7
"130",1,20,37,37,31,39,16,23,6
"131",0,2,3,12,20,10,4,2,2
"132",4,9,21,21,28,22,16,9,6
"133",22,81,130,119,125,95,74,45,49
"134",0,0,0,0,0,35,35,26,13
"135",1,0,10,11,6,4,12,4,4
"136",0,0,0,0,0,1,2,1,0
"137",2,4,3,1,8,9,15,3,6
"138",53,182,149,151,138,100,82,61,30
"139",0,0,0,0,1,8,4,1,1
"140",0,0,59,43,37,33,19,9,6
"141",14,70,109,93,63,82,61,45,33
"142",0,10,12,8,8,6,4,1,4
"143",1,5,8,11,21,5,6,2,6
"144",0,0,0,0,0,0,154,105,108
"145",3,8,8,18,18,11,5,11,9
"146",2,26,16,31,19,20,13,13,1
"147",0,0,0,0,0,0,0,0,21
"148",9,119,166,81,83,87,58,73,60
"149",9,7,13,19,3,0,1,2,0
"150",48,162,218,273,257,228,183,153,188
"151",0,0,0,0,0,0,0,0,22
"152",0,0,8,32,21,27,51,32,19
"153",4,15,13,5,6,21,4,6,5
"154",0,0,0,29,61,79,51,59,40
"155",0,0,0,0,0,6,8,8,6
"156",14,40,59,97,77,106,91,87,56
"157",0,4,7,12,27,30,13,13,10
"158",4,4,9,51,6,37,36,33,11
"159",0,1,4,1,0,4,0,0,0
"160",0,8,6,3,6,11,9,17,20
"161",0,5,9,12,13,10,4,3,5
"162",0,0,0,0,0,0,0,0,4
"163",1,1,3,5,3,1,2,2,0
"164",0,0,0,0,0,0,14,35,36
"165",63,171,668,508,221,189,117,82,35
"166",0,7,37,18,30,44,43,25,20
"167",0,0,0,10,1,4,2,3,2
"168",0,8,2,11,5,6,7,1,0
"169",9,31,41,54,36,41,31,24,5
"170",0,0,0,0,0,0,2,0,8
"171",0,2,2,5,0,7,1,2,0
"172",0,0,1,2,0,2,3,4,1
"173",18,30,30,41,42,62,27,41,12
"174",0,0,22,31,20,7,7,4,6
"175",0,0,0,0,0,0,125,235,135
"176",0,0,0,7,4,7,5,10,4
"177",9,73,102,103,86,121,87,91,55
"178",0,0,0,0,0,0,74,142,72
"179",0,0,0,0,0,0,0,1,14
"180",0,10,19,21,8,3,2,2,1
"181",22,156,87,181,193,287,395,460,324
"182",0,0,0,0,15,18,5,2,3
"183",25,120,101,54,48,46,22,26,27
"184",0,0,0,0,0,3,4,1,0
"185",0,0,0,0,0,0,0,413,574
"186",11,33,46,55,75,57,60,39,24
"187",0,0,0,0,0,5,2,3,1
"188",0,0,0,0,0,150,220,193,277
"189",0,0,0,0,17,158,83,91,42
"190",1,3,7,3,4,3,5,0,2
"191",1,1,15,13,7,8,7,3,6
"192",0,0,0,0,0,0,0,0,8
"193",0,0,0,49,280,228,215,226,194
"194",0,0,0,0,0,0,4,0,0
"195",0,0,0,0,0,0,0,0,3
"196",1,45,119,41,25,32,19,32,13
"197",0,2,3,4,5,8,3,1,2
"198",0,0,0,0,1,1,0,2,0
"199",0,0,0,0,0,0,3,1,0
"200",1,27,37,39,16,18,30,9,2
"201",0,0,0,0,0,0,0,0,18
"202",0,0,0,0,0,0,5,22,17
"203",0,0,0,0,0,0,0,12,13
"204",0,0,0,0,2,0,0,0,0
"205",0,0,0,5,3,0,1,0,0
"206",0,0,0,0,6,10,11,7,8
"207",0,0,0,0,0,0,6,4,11
"208",2,19,22,21,9,13,24,17,17
"209",0,0,0,0,0,0,2,0,0
"210",0,6,23,22,22,19,25,15,8
"211",77,151,162,290,296,325,193,194,142
"212",5,16,20,31,22,21,13,35,16
"213",4,12,6,6,5,5,9,8,8
"214",0,0,0,0,0,0,0,2,2
"215",0,0,0,2,17,18,8,23,23
"216",0,0,6,4,9,8,9,11,1
"217",14,24,40,32,23,22,26,6,9
"218",0,10,0,6,8,3,2,1,0
"219",0,0,2,1,7,1,2,0,1
"220",0,10,11,27,15,25,26,11,7
"221",0,0,0,0,0,0,1,0,0
"222",0,0,0,2,0,6,0,1,2
"223",28,47,73,94,106,84,114,78,38
"224",1,2,1,3,1,0,2,0,0
"225",0,0,0,0,1,0,1,0,0
"226",1,4,8,4,0,0,2,7,4
"227",0,1,2,1,2,0,4,1,1
"228",51,215,258,353,402,563,447,285,231
"229",0,0,0,0,0,3,14,4,8
"230",0,17,24,47,24,50,11,8,10
"231",0,0,0,0,1,4,2,4,4
"232",0,0,0,0,0,0,0,0,8
"233",0,0,4,1,0,0,0,0,0
"234",0,1,75,30,10,15,16,11,12
"235",0,3,9,23,6,19,23,8,5
"236",0,0,0,0,0,1,6,8,6
"237",0,0,0,0,8,7,4,5,2
"238",1,7,8,0,0,2,3,1,2
"239",0,0,0,69,128,129,78,50,23
"240",0,0,3,2,2,15,7,2,1
"241",43,103,171,210,177,159,50,43,27
"242",2,30,69,75,59,32,35,16,10
"243",33,82,85,86,33,19,39,34,9
"244",2,5,1,6,8,9,11,9,29
"245",0,4,50,21,1,3,1,0,0
"246",6,20,22,15,12,12,13,9,2
"247",109,315,403,472,448,396,300,204,134
"248",0,0,1,3,6,3,2,0,2
"249",0,0,0,0,4,10,7,9,5
"250",0,0,0,0,0,0,0,1,2
"251",35,399,306,423,550,596,645,478,313
"252",0,0,2,0,2,6,8,4,3
"253",1,3,11,15,11,13,31,10,8
"254",2,10,5,26,37,14,14,17,12
"255",16,83,118,135,83,74,46,35,34
"256",0,0,0,0,0,0,0,1,2
"257",0,11,15,31,18,9,4,13,5
"258",0,0,0,1,1,112,542,805,721
"259",0,0,0,0,0,0,0,0,54
"260",4,28,23,25,30,31,21,15,17
"261",3,33,18,20,13,8,6,8,1
"262",3,18,55,14,16,8,14,9,10
"263",1,2,2,7,11,16,15,3,5
"264",0,0,0,0,0,0,28,31,24
"265",40,147,212,161,156,132,99,66,64
"266",0,0,0,0,0,0,0,0,6
"267",0,0,0,0,0,0,508,302,250
"268",0,4,23,18,12,14,3,5,11
"269",6,41,41,79,46,66,57,35,9
"270",0,0,0,0,0,1,1,2,0
"271",0,0,0,0,0,2,7,9,1
"272",6,19,21,45,36,48,52,28,15
"273",13,54,100,246,383,343,280,297,260
"274",0,0,0,0,242,424,248,190,145
"275",1,6,10,13,9,8,12,2,1
"276",55,120,249,349,258,254,245,142,140
"277",0,0,1,2,3,2,1,0,3
"278",0,0,0,0,0,1,2,4,3
"279",0,0,1,2,0,2,0,0,0
"280",0,0,0,0,0,0,1,1,1
"281",0,4,33,23,22,15,37,21,14
"282",2,23,27,32,26,50,37,39,18
"283",5,25,34,41,48,28,19,13,14
"284",3,8,12,13,9,12,10,8,5
"285",0,0,0,0,0,0,69,51,54
"286",3,17,41,25,19,6,7,3,5
"287",0,60,842,1143,1042,1034,1380,1456,763
"288",11,43,79,72,98,52,62,39,27
"289",5,14,16,12,13,8,4,7,4
"290",0,0,0,0,0,0,44,196,160
"291",0,0,51,102,107,63,37,33,11
"292",1,3,2,10,5,4,2,1,2
"293",5,45,93,61,58,60,68,53,46
"294",0,0,0,0,0,3,5,8,3
"295",0,0,0,0,0,0,0,5,7
"296",0,88,104,109,119,159,129,116,86
"297",0,0,0,0,0,0,0,2,0
"298",1,0,1,6,5,4,2,2,1
"299",0,0,0,0,0,0,0,6,1
"300",0,1,0,6,0,0,4,0,0
"301",11,14,31,43,44,47,40,32,49
"302",0,0,0,0,0,0,0,5,5
"303",4,14,27,19,10,11,11,7,5
"304",0,0,1,1,0,1,4,2,4
"305",1,12,24,14,22,49,34,15,6
"306",0,0,0,0,0,0,0,0,30
"307",19,77,95,92,101,64,56,45,50
"308",13,26,51,66,81,87,36,42,21
"309",0,0,47,35,32,46,23,22,20
"310",0,0,0,52,46,70,59,45,36
"311",0,4,10,14,29,22,14,4,4
"312",0,0,29,35,22,27,20,10,4
"313",0,0,0,0,0,0,0,0,9
"314",0,0,1,3,5,3,0,2,3
"315",4,30,69,63,75,73,52,43,26
"316",22,118,106,81,123,94,64,54,34
"317",0,0,1,7,10,9,7,7,1
"318",6,19,50,68,73,62,93,103,80
"319",0,0,4,3,5,10,1,2,1
"320",0,7,11,18,4,9,11,9,9
"321",1,10,20,8,9,2,1,0,0
"322",0,6,40,23,29,74,63,32,30
"323",0,4,2,4,10,6,2,4,2
"324",8,37,33,35,34,78,64,37,55
"325",1,4,1,3,3,2,2,0,0
"326",2,21,4,11,5,4,8,13,8
"327",4,13,18,16,10,5,13,5,3
"328",0,1,0,8,5,3,1,0,1
"329",0,0,1,6,1,0,1,3,5
"330",3,7,16,8,12,14,5,5,1
"331",0,0,12,330,421,411,479,371,274
"332",0,0,0,0,0,0,0,9,23
"333",0,0,0,22,28,35,19,4,0
"334",0,4,5,1,1,2,1,0,6
"335",4,9,6,16,27,23,6,8,11
"336",0,1,4,3,3,13,14,12,14
"337",0,0,0,0,6,14,4,0,0
"338",0,0,4,0,2,1,1,1,0
"339",7,50,102,101,43,46,24,86,52
"340",7,38,19,10,33,18,12,21,12
"341",0,0,1,4,1,3,1,2,3
"342",0,0,0,0,0,0,0,0,9
"343",0,0,0,0,0,1,2,3,4
"344",5,129,142,105,107,78,51,30,43
"345",0,0,0,0,2,6,9,6,8
"346",3,43,62,59,55,67,26,17,5
"347",0,10,29,44,20,10,19,6,14
"348",0,0,0,0,0,1,0,0,0
"349",5,22,41,34,33,32,47,31,34
"350",77,324,270,309,230,166,149,197,123
"351",0,0,14,16,21,12,16,7,4
"352",0,27,57,18,24,24,31,12,7
"353",0,2,27,14,50,50,21,14,5
"354",5,29,34,68,71,61,45,24,15
"355",0,0,0,0,0,0,0,1390,495
"356",0,0,0,0,0,0,0,0,1
"357",0,0,0,0,0,0,7,61,42
"358",0,0,2,9,5,8,12,19,14
"359",3,4,18,25,25,9,9,5,10
"360",1,0,0,3,0,0,0,0,0
"361",0,1,4,1,8,6,5,1,1
"362",0,0,0,0,0,0,0,9,42
"363",2,18,27,49,36,30,20,12,12
"364",0,0,7,13,0,0,0,2,1
"365",2,34,56,63,47,29,39,26,21
"366",0,0,1,0,1,0,0,0,0
"367",33,94,117,185,215,192,117,113,59
"368",0,0,0,0,0,0,0,1,4
"369",0,0,0,0,0,23,25,93,15
"370",0,0,0,0,0,0,1,0,0
"371",0,0,0,0,0,0,0,0,118
"372",2,0,0,0,0,4,8,1,0
"373",0,0,0,0,0,0,0,66,1057
"374",3,6,10,18,18,19,18,13,6
"375",6,48,43,58,90,78,125,92,56
"376",3,64,33,26,30,27,30,25,11
"377",0,2,1,1,0,1,1,2,1
"378",0,1,1,1,4,1,0,0,0
"379",2,1,6,14,18,8,5,6,7
"380",22,116,96,104,113,101,66,68,47
"381",10,51,52,67,72,103,70,55,53
"382",0,1,4,4,7,2,0,4,6
"383",0,1,32,60,38,17,13,8,2
"384",15,46,75,58,58,54,37,24,23
"385",2,18,9,10,6,23,7,4,14
"386",130,470,488,488,429,379,270,220,159
"387",0,0,0,0,0,0,0,0,2
"388",0,0,1,0,2,0,0,1,0
"389",0,0,0,0,0,0,0,10,4
"390",0,1,2,4,16,19,16,8,4
"391",4,9,17,11,13,19,4,3,5
"392",0,0,0,9,20,9,15,7,12
"393",0,0,0,0,0,5,7,2,1
"394",8,58,75,61,47,41,37,29,17
"395",0,0,0,0,100,181,100,70,51
"396",0,0,0,0,0,25,18,24,21
"397",0,0,58,129,105,77,38,85,47
"398",0,0,0,0,0,0,0,0,2
"399",0,0,0,0,1,0,0,2,1
"400",0,0,0,0,1,1,3,0,0
"401",1,2,24,18,6,12,7,10,9
"402",27,67,48,46,38,66,33,19,13
"403",3,10,7,8,10,15,12,2,8
"404",2,3,6,10,8,14,13,9,6
"405",0,0,1,3,1,6,3,0,3
"406",0,0,0,0,0,2,3,1,0
"407",0,0,0,0,0,0,0,0,3
"408",0,0,16,25,24,14,24,24,3
"409",1,10,10,7,59,44,62,36,13
"410",6,36,99,112,105,98,93,74,51
"411",1,0,1,4,1,4,1,0,1
"412",40,75,137,133,149,158,146,104,51
"413",30,139,150,196,171,181,111,100,76
"414",0,0,0,0,58,68,32,13,8
"415",0,0,0,0,0,0,5,8,11
"416",0,0,0,0,0,0,2,2,1
"417",6,7,10,28,10,51,21,9,9
"418",25,64,88,93,79,44,36,38,37
"419",0,0,0,0,0,4,487,307,190
"420",26,98,129,95,126,126,92,41,31
"421",1,18,26,39,21,21,10,22,5
"422",0,0,0,0,0,21,22,21,16
"423",0,0,0,0,0,0,0,0,51
"424",0,0,0,0,0,0,1,88,69
"425",0,0,0,0,0,0,0,11,11
"426",0,62,100,114,67,54,45,36,25
"427",26,60,149,77,118,73,50,14,0
"428",1,7,5,2,7,1,0,5,3
"429",0,0,0,0,0,32,36,15,13
"430",0,0,0,37,16,30,29,26,10
"431",23,202,527,549,693,573,276,198,112
"432",0,0,0,0,0,0,0,0,3
"433",0,0,0,2,0,1,0,1,0
"434",0,0,0,10,306,631,808,672,152
"435",5,47,103,28,28,43,56,47,76
"436",0,0,0,0,0,0,0,18,11
"437",0,0,1,0,0,2,0,0,0
"438",3,3,4,5,9,8,6,11,7
"439",0,0,0,0,0,0,0,5,19
"440",13,46,30,47,29,33,15,17,5
"441",1,2,5,5,0,0,2,2,1
"442",0,0,0,0,0,0,0,1,0
"443",0,0,0,0,0,0,0,0,16
"444",0,0,0,0,0,0,0,0,28
"445",0,0,0,0,6,2,0,1,0
"446",0,0,0,0,0,0,0,0,46
"447",0,0,0,16,23,18,10,12,10
"448",0,1,1,4,10,2,1,2,1
"449",4,8,17,5,1,0,0,0,0
"450",0,3,15,2,3,2,0,1,3
"451",10,39,86,208,96,113,143,102,112
"452",0,0,0,0,0,0,1115,629,373
"453",0,3,13,6,10,6,2,2,1
"454",3,1,7,8,3,16,25,20,12
"455",58,305,367,379,299,317,300,299,224
"456",0,0,0,0,0,0,226,259,156
"457",0,72,88,68,58,44,48,43,22
"458",46,429,416,345,511,318,0,245,255
"459",0,0,0,11,10,4,1,3,3
"460",3,3,9,19,27,25,17,5,7
"461",1,52,38,67,62,51,34,20,15
"462",27,102,91,55,74,92,91,78,48
"463",0,10,71,48,34,34,34,34,21
"464",0,0,0,0,0,0,0,0,38
"465",0,0,0,0,0,0,0,368,187
"466",0,0,0,0,0,0,0,11,10
"467",10,15,22,17,15,20,9,12,5
"468",14,52,51,47,30,24,20,14,12
"469",1,4,8,5,4,3,3,12,6
"470",0,0,0,0,0,667,575,449,291
"471",0,0,0,0,0,0,0,0,29
"472",1,0,2,3,4,1,1,1,0
"473",0,0,0,0,3,1,3,2,0
"474",0,0,0,0,0,0,0,0,90
"475",0,7,13,14,20,8,9,8,6
"476",30,102,152,163,137,170,111,35,21
"477",0,0,0,0,0,0,45,70,37
"478",0,7,5,5,17,17,4,0,3
"479",0,0,0,0,0,0,0,0,17
"480",0,0,0,131,93,115,151,56,41
"481",0,0,0,6,6,14,9,3,1
"482",0,0,2,0,1,5,1,3,1
"483",0,0,0,0,0,0,2,0,0
"484",0,0,0,2,64,151,133,133,120
"485",0,0,1,3,1,1,4,0,1
"486",0,0,0,0,0,13,21,41,16
"487",5,51,66,112,72,53,38,54,25
"488",0,2,1,2,2,9,5,2,1
"489",1,2,13,3,3,25,12,3,1
"490",0,101,118,133,92,134,79,34,37
"491",9,34,29,38,38,26,25,25,14
"492",0,0,0,0,99,174,194,140,177
"493",0,0,2,0,1,1,0,1,0
"494",0,3,2,5,4,4,1,6,7
"495",1,20,23,23,30,25,9,13,7
"496",0,0,0,0,27,69,6,48,39
"497",0,0,0,0,0,0,5,3,2
"498",0,0,0,46,63,83,61,46,60
"499",0,0,0,0,134,306,221,84,42
"500",0,0,3,9,11,10,2,2,3
"501",0,0,0,0,0,0,118,105,67
"502",0,0,0,0,0,0,0,90,61
"503",2,7,10,3,6,6,6,2,2
"504",0,0,0,0,0,0,0,28,19
"505",26,126,76,73,54,32,39,20,23
"506",0,0,0,0,0,0,0,2,1
"507",1,2,4,10,10,10,10,4,11
"508",0,2,3,6,21,10,12,4,2
"509",0,0,0,0,0,1,0,0,0
"510",0,0,0,0,0,0,0,0,13
"511",1,4,8,8,21,15,5,7,2
"512",0,1,1,20,7,5,8,2,1
"513",44,186,158,146,140,107,82,47,48
"514",0,0,0,1,5,1,0,0,0
"515",0,6,50,42,34,51,57,42,18
"516",51,347,454,411,1231,1591,1077,1482,997
"517",0,0,0,0,0,0,202,332,185
"518",0,0,0,149,80,62,67,67,83
"519",0,0,42,61,72,58,45,25,13
"520",0,0,0,0,0,6,16,6,2
"521",9,91,134,126,134,113,79,52,51
"522",0,2,2,3,2,2,3,2,1
"523",1,1,2,3,1,2,0,0,0
"524",0,0,0,0,4,4,2,7,8
"525",1,15,8,10,8,7,1,11,5
"526",0,0,0,0,0,38,68,75,42
"527",15,41,33,36,34,54,40,22,15
"528",0,0,0,0,0,0,1,0,0
"529",19,59,123,114,125,141,153,89,77
"530",0,0,0,0,0,744,794,714,481
"531",0,0,0,0,0,0,7,56,32
"532",0,0,0,0,0,0,0,2,2
"533",0,0,0,0,0,0,0,0,31
"534",0,0,0,0,0,89,178,110,53
"535",0,0,0,0,0,21,7,2,6
"536",160,581,758,774,751,650,571,439,328
"537",6,34,27,28,41,22,44,29,15
"538",34,38,51,20,33,54,46,26,8
"539",0,3,4,4,2,3,2,3,7
"540",0,0,0,0,68,134,73,52,23
"541",14,80,100,101,83,51,57,42,37
"542",0,0,0,0,0,0,0,13,11
"543",83,112,177,119,78,84,50,35,31
"544",0,0,0,0,0,2,0,0,0
"545",0,0,3,13,7,1,1,0,3
"546",1,9,11,4,26,12,24,21,8
"547",0,0,0,0,121,73,45,37,35
"548",0,6,8,35,30,28,11,14,13
"549",0,3,6,7,8,7,3,1,0
"550",0,5,25,18,21,34,8,13,5
"551",0,0,0,0,0,1,0,0,2
"552",0,0,0,0,77,143,91,93,72
"553",0,0,0,0,0,0,373,619,212
"554",12,30,60,59,57,16,22,19,20
"555",0,0,0,0,0,0,0,9,11
"556",2,0,4,0,1,0,6,9,10
"557",7,10,23,5,11,9,4,1,0
"558",0,0,26,938,421,296,293,172,143
"559",2,0,4,6,7,0,5,1,1
"560",0,1,7,26,14,2,7,0,0
"561",5,11,10,7,6,9,5,5,3
"562",5,17,23,46,25,15,7,7,7
"563",1,1,0,18,2,2,1,1,3
"564",0,3,2,9,3,2,0,0,1
"565",6,3,2,7,26,36,29,10,15
"566",0,0,0,0,0,0,27,28,10
"567",41,88,129,139,120,132,103,111,63
"568",0,0,0,0,0,0,87,226,98
"569",0,0,0,0,0,0,73,188,83
"570",0,0,0,0,0,0,0,499,299
"571",0,11,7,9,7,3,2,5,2
"572",0,0,0,18,11,30,33,17,18
"573",0,0,0,0,0,0,0,2,10
"574",1,2,0,2,7,7,0,2,1
"575",2,13,47,35,20,33,38,18,16
"576",36,132,144,93,116,79,76,81,55
"577",0,0,0,0,4,6,7,7,4
"578",0,5,5,16,19,13,7,7,7
"579",2,0,2,0,3,13,4,3,5
"580",0,0,0,0,0,0,0,207,220
"581",0,35,30,52,41,30,29,18,23
"582",25,88,99,85,90,93,61,92,37
"583",14,37,53,57,46,51,27,60,79
"584",0,314,362,498,502,460,393,299,207
"585",0,14,50,40,28,37,38,61,52
"586",0,0,0,0,0,0,0,0,4
"587",0,0,0,0,0,0,220,180,101
"588",1,1,1,1,1,2,7,6,0
"589",0,0,0,0,0,0,9,15,11
"590",2,7,18,16,46,22,4,2,3
"591",0,0,0,0,60,102,60,54,45
"592",0,0,18,25,35,21,30,25,14
"593",8,9,22,57,35,33,17,20,13
"594",0,0,1,215,205,206,204,177,125
"595",0,0,1,0,1,2,1,0,2
"596",54,294,161,216,116,28,14,3,2
"597",48,223,367,199,158,104,66,54,37
"598",11,77,91,103,56,65,75,77,47
"599",0,7,1,0,0,0,0,0,10
"600",0,0,0,0,0,0,1,0,0
"601",0,3,2,0,11,11,6,2,2
"602",12,37,26,32,28,27,22,16,19
"603",0,35,78,79,144,81,39,53,30
"604",1,1,1,1,2,2,1,0,0
"605",0,0,12,147,99,98,75,33,22
"606",0,0,0,0,0,0,0,58,29
"607",0,2,5,0,2,0,0,0,2
"608",167,604,929,941,810,691,518,486,278
"609",0,0,0,0,0,0,0,0,35
"610",0,0,0,0,0,0,4,6,5
"611",0,3,1,4,17,44,35,19,11
"612",1,11,11,14,13,21,9,5,5
"613",4,4,6,37,49,38,29,19,20
"614",8,30,66,63,54,67,55,40,23
"615",0,0,47,89,46,72,57,102,74
"616",0,8,9,19,2,5,1,5,2
"617",0,0,1,3,1,3,1,2,1
"618",0,0,0,0,0,3,7,7,7
"619",0,0,0,0,0,6,5,0,0
"620",0,0,1,4,3,2,0,3,0
"621",0,0,0,0,0,2,0,2,1
"622",67,118,127,152,132,129,143,126,85
"623",1,4,25,22,10,21,11,9,7
"624",3,15,42,47,40,67,55,34,18
"625",0,0,0,0,2,6,4,2,0
"626",0,0,0,0,3,2,0,0,0
"627",0,0,0,0,0,0,0,377,325
"628",0,0,1,0,2,3,6,0,3
"629",0,0,0,5,20,37,44,30,23
"630",10,176,265,139,143,101,71,31,15
"631",0,0,0,0,0,0,0,18,127
"632",1,12,14,7,7,6,4,5,1
"633",0,0,0,0,9,109,88,72,46
"634",0,0,0,0,0,0,0,0,3
"635",2,15,22,39,25,5,13,7,10
"636",0,0,0,0,99,158,76,52,19
"637",0,0,1,5,1,4,1,2,1
"638",0,0,0,1252,570,415,356,264,235
"639",88,320,433,451,490,558,398,405,240
"640",2,39,103,133,191,193,217,169,148
"641",0,0,0,0,0,36,38,33,23
"642",1,3,0,1,2,2,0,4,1
"643",4,10,20,14,16,8,11,16,8
"644",0,0,0,0,0,1,25,14,11
"645",0,0,0,1,1,0,0,1,0
"646",0,0,0,0,49,46,65,41,25
"647",0,0,3,2,2,0,0,0,1
"648",1,8,32,53,163,12,4,13,2
"649",0,0,3,8,17,36,49,18,35
"650",0,0,0,0,0,0,35,70,10
"651",0,0,0,0,1,0,0,1,0
"652",0,0,0,0,1,1,0,0,0
"653",0,3,8,10,9,15,7,10,5
"654",0,0,2,16,26,11,6,1,1
"655",0,0,0,0,0,0,0,0,2
"656",19,63,34,27,55,23,34,20,16
"657",3,5,19,6,9,10,8,4,3
"658",0,0,0,0,0,1,0,2,2
