"","Checkin_Monday","Checkin_Tuesday","Checkin_Wednesday","Checkin_Thursday","Checkin_Friday","Checkin_Saturday","Checkin_Sunday"
"164",6,4,2,3,5,23,42
"165",251,184,261,133,281,448,496
"166",27,22,16,29,29,57,44
"167",2,4,1,4,3,5,3
"168",6,4,6,6,8,8,2
"169",16,47,52,26,44,44,43
"170",0,2,3,0,0,2,3
"171",2,5,2,2,1,4,3
"172",2,2,2,3,1,1,2
"173",25,36,39,47,38,53,65
"174",10,7,13,5,21,16,25
"175",68,50,56,48,54,114,105
"176",0,1,5,4,13,7,7
"177",77,63,79,98,80,193,137
"178",43,36,27,35,43,61,43
"179",0,0,3,3,4,4,1
"180",8,14,4,8,18,7,7
"181",190,124,273,268,300,489,461
"182",3,5,9,2,5,14,5
"183",66,62,48,48,61,91,93
"184",0,3,2,1,1,1,0
"185",126,95,92,124,156,207,187
"186",43,20,13,43,58,112,111
"187",0,1,1,1,2,2,4
"188",145,32,123,97,90,163,190
"189",24,26,50,73,36,98,84
"190",0,2,4,3,5,6,8
"191",9,4,8,6,10,12,12
"192",0,0,2,4,1,1,0
"193",120,103,147,167,150,276,229
"194",0,1,0,1,1,1,0
"195",3,0,0,0,0,0,0
"196",57,38,41,41,55,43,52
"197",5,5,3,3,0,8,4
"198",0,0,1,0,0,1,2
"199",0,0,0,0,1,1,2
"200",19,23,25,29,33,22,28
"201",2,2,4,3,0,5,2
"202",4,8,6,4,12,8,2
"203",5,3,6,2,6,3,0
"204",1,0,0,0,0,0,1
"205",0,0,0,3,2,0,4
"206",1,1,7,2,9,8,14
"207",2,3,3,0,6,2,5
"208",21,29,24,21,19,18,12
"209",0,0,0,0,1,0,1
"210",7,18,15,18,21,28,33
"211",280,192,174,189,226,362,407
"212",23,17,14,19,26,35,45
"213",8,9,12,10,17,3,4
"214",0,1,1,0,2,0,0
"215",17,16,16,16,15,9,2
"216",6,6,11,7,7,5,6
"217",12,29,23,27,34,34,37
"218",5,7,6,5,5,1,1
"219",5,0,1,1,2,2,3
"220",13,25,20,15,17,18,24
"221",0,0,0,0,0,0,1
"222",2,0,2,0,1,2,4
"223",89,118,101,103,102,82,67
"224",1,2,0,3,1,2,1
"225",0,1,0,0,1,0,0
"226",4,5,0,2,11,3,5
"227",0,2,1,2,0,4,3
"228",404,248,266,293,346,602,646
"229",5,4,6,0,2,5,7
"230",18,10,12,41,28,33,49
"231",2,1,2,1,1,6,2
"232",0,0,1,2,0,1,4
"233",1,1,0,1,1,1,0
"234",20,29,8,39,7,31,36
"235",15,16,9,12,10,18,16
"236",6,2,1,4,5,2,1
"237",6,5,3,0,5,4,3
"238",3,6,5,6,0,3,1
"239",58,55,59,73,72,66,94
"240",3,2,3,7,3,4,10
"241",132,140,138,137,164,133,139
"242",54,48,46,49,41,40,50
"243",45,51,45,56,61,102,60
"244",8,7,13,11,12,17,12
"245",21,7,17,19,12,4,0
"246",12,12,15,15,24,17,16
"247",437,340,294,294,349,538,529
"248",2,2,1,6,2,3,1
"249",4,3,4,7,7,7,3
"250",0,0,1,1,0,0,1
"251",375,430,420,460,594,735,731
"252",2,5,2,3,2,6,5
"253",6,38,13,12,6,19,9
"254",15,23,25,15,21,23,15
"255",96,92,91,83,172,58,32
"256",0,2,0,1,0,0,0
"257",10,10,27,12,18,23,6
"258",311,314,324,278,341,313,301
"259",4,5,7,13,7,12,6
"260",28,26,25,23,30,32,30
"261",15,14,17,24,10,17,13
"262",21,26,17,22,17,30,14
"263",7,6,5,12,11,10,11
"264",17,4,9,7,8,24,14
"265",147,146,164,171,179,128,142
"266",1,0,1,3,1,0,0
"267",126,78,108,111,160,205,272
"268",2,4,10,12,12,20,30
"269",41,35,52,40,35,86,91
"270",1,0,1,0,1,0,1
"271",0,6,2,6,5,0,0
"272",14,27,43,53,57,47,29
"273",273,148,197,183,212,436,527
"274",98,51,56,66,109,360,509
"275",0,4,15,7,12,15,9
"276",156,94,169,165,204,516,508
"277",3,3,1,2,1,1,1
"278",0,1,1,2,2,3,1
"279",0,1,0,1,0,2,1
"280",0,1,1,0,0,0,1
"281",21,17,20,18,11,34,48
"282",14,27,34,22,36,59,62
"283",20,27,32,25,28,58,37
"284",11,11,6,10,11,15,16
"285",12,12,9,12,22,43,64
"286",15,18,15,23,18,21,16
"287",877,973,991,1102,1238,1457,1082
"288",51,34,37,29,36,119,177
"289",4,0,0,0,1,38,40
"290",72,70,71,77,102,4,4
"291",31,32,48,41,74,77,101
"292",5,2,6,7,5,4,1
"293",69,35,54,51,72,107,101
"294",4,1,1,2,2,3,6
"295",0,0,3,0,3,0,6
"296",77,101,97,102,136,221,176
"297",1,0,0,0,0,1,0
"298",4,2,4,3,4,2,3
"299",0,0,0,2,1,1,3
"300",1,1,1,0,4,3,1
"301",40,48,49,57,52,36,29
"302",0,1,1,0,1,4,3
"303",11,7,16,13,14,26,21
"304",5,0,2,2,1,3,0
"305",20,22,22,29,25,22,37
"306",3,6,1,6,4,4,6
"307",78,88,82,97,81,79,94
"308",47,42,38,49,58,140,49
"309",34,25,22,21,26,48,49
"310",44,15,18,43,47,77,64
"311",13,10,7,16,13,16,26
"312",3,28,20,17,24,37,18
"313",0,0,2,1,1,3,2
"314",2,4,3,1,3,1,3
"315",51,53,45,52,46,94,94
"316",88,129,67,103,112,113,84
"317",8,6,4,4,7,5,8
"318",63,54,54,63,81,136,103
"319",3,4,4,1,5,4,5
"320",1,9,10,5,10,18,25
"321",5,4,10,7,7,9,9
"322",37,34,23,39,56,57,51
"323",2,7,9,6,4,1,5
"324",37,19,29,26,42,131,97
"325",2,4,1,3,2,2,2
"326",6,3,11,14,8,19,15
"327",11,14,19,12,16,9,6
"328",3,3,4,2,5,1,1
"329",0,1,0,3,3,4,6
"330",8,10,15,10,8,9,11
"331",305,239,304,295,276,448,431
"332",0,2,6,6,10,6,2
"333",8,9,17,27,18,16,13
"334",4,3,1,1,3,5,3
"335",8,8,18,14,16,25,21
"336",10,8,9,8,10,9,10
"337",5,5,3,4,3,3,1
"338",3,0,1,1,1,1,2
"339",58,71,71,53,61,118,79
"340",25,19,26,23,34,19,24
"341",0,1,3,1,5,1,4
"342",0,0,3,1,4,1,0
"343",2,4,3,0,1,0,0
"344",81,82,102,91,88,137,109
"345",2,2,5,2,3,9,8
"346",59,53,57,61,52,25,30
"347",19,15,27,21,27,22,21
"348",0,0,0,0,1,0,0
"349",33,40,41,44,57,49,15
"350",193,173,168,233,423,376,279
"351",8,7,9,12,15,19,20
"352",19,41,35,43,35,17,10
"353",26,31,23,23,22,26,32
"354",23,34,52,51,54,100,38
"355",268,203,154,204,261,382,413
"356",0,0,0,1,0,0,0
"357",11,12,15,18,16,28,10
"358",14,3,7,9,13,17,6
"359",13,14,12,19,17,16,17
"360",0,0,0,2,1,1,0
"361",1,4,3,6,5,8,0
"362",3,6,4,6,4,12,16
"363",29,30,24,29,41,27,26
"364",7,1,1,2,2,5,5
"365",27,31,64,55,31,68,41
"366",0,0,1,1,0,0,0
"367",94,109,107,133,130,289,263
"368",1,2,0,0,1,0,1
"369",22,16,24,13,17,37,27
"370",0,0,0,0,0,1,0
"371",14,12,12,14,21,30,15
"372",2,2,3,2,4,2,0
"373",109,94,79,86,141,290,324
"374",14,11,14,23,10,16,23
"375",65,54,71,77,86,156,87
"376",33,29,27,30,38,58,34
"377",3,1,3,1,0,1,0
"378",1,0,0,2,2,1,2
"379",6,3,8,10,11,17,12
"380",79,85,82,97,100,139,151
"381",52,41,49,38,63,142,148
"382",3,4,4,4,5,4,4
"383",27,26,11,18,12,34,43
"384",42,64,60,60,60,70,34
"385",15,20,23,21,12,1,1
"386",399,292,319,342,406,670,605
"387",0,0,0,0,2,0,0
"388",0,1,0,1,1,0,1
"389",1,3,1,1,4,0,4
"390",11,4,10,15,9,6,15
"391",5,7,2,9,3,34,25
"392",5,10,6,8,11,17,15
"393",1,2,4,2,3,0,3
"394",38,40,46,32,57,97,63
"395",43,43,44,54,69,117,132
"396",6,11,16,13,13,9,20
"397",61,46,65,57,81,119,110
"398",0,0,0,1,0,0,1
"399",1,0,0,1,0,2,0
"400",2,1,1,1,0,0,0
"401",5,6,12,15,14,19,18
"402",56,40,55,63,42,52,49
"403",6,8,9,12,13,6,21
"404",7,11,5,13,18,16,1
"405",4,1,1,4,1,3,3
"406",0,0,0,1,2,2,1
"407",1,0,0,0,1,1,0
"408",15,15,11,16,13,35,25
"409",38,24,23,25,33,45,54
"410",99,79,62,63,79,138,154
"411",2,1,4,2,4,0,0
"412",19,83,114,133,161,279,204
"413",150,134,139,156,157,203,215
"414",23,17,26,22,33,31,27
"415",2,2,5,2,2,4,7
"416",0,1,0,0,1,3,0
"417",25,11,22,27,22,26,18
"418",78,69,84,65,75,80,53
"419",113,128,77,95,117,202,256
"420",97,106,92,87,115,139,128
"421",19,21,22,18,20,30,33
"422",3,4,3,12,14,27,17
"423",4,7,4,7,14,14,1
"424",14,13,16,11,31,37,36
"425",4,2,2,2,7,2,3
"426",60,52,73,82,80,96,60
"427",50,69,106,49,66,133,94
"428",2,7,5,2,5,3,7
"429",8,9,9,9,12,23,26
"430",12,22,14,20,22,33,25
"431",95,224,368,526,645,872,423
"432",0,1,1,1,0,0,0
"433",0,0,0,0,0,3,1
"434",269,338,332,290,365,565,420
"435",62,73,89,55,63,84,7
"436",0,2,6,1,5,8,7
"437",1,0,0,0,1,1,0
"438",5,7,7,8,8,10,11
"439",4,2,3,5,6,3,1
"440",15,22,34,27,33,53,51
"441",5,1,2,1,4,4,1
"442",0,0,1,0,0,0,0
"443",0,3,2,2,2,3,4
"444",3,3,2,6,7,5,2
"445",0,0,5,2,2,0,0
"446",3,4,9,4,7,11,8
"447",3,8,11,13,17,16,21
"448",1,3,4,2,8,1,3
"449",8,7,6,4,9,1,0
"450",6,7,1,4,4,5,2
"451",120,118,134,132,158,141,106
"452",303,245,192,287,290,401,399
"453",7,3,5,3,4,9,12
"454",14,14,10,15,10,17,15
"455",235,280,300,320,403,552,458
"456",63,60,49,57,97,172,143
"457",53,61,63,52,67,74,73
"458",35,425,509,541,675,193,187
"459",3,7,3,7,2,6,4
"460",17,17,9,10,18,11,33
"461",40,26,28,31,41,80,94
"462",91,96,76,77,99,100,119
"463",34,42,52,44,41,46,27
"464",8,5,4,2,5,6,8
"465",72,59,53,63,74,107,127
"466",1,3,2,2,4,5,4
"467",16,12,14,10,17,25,31
"468",30,37,38,31,33,49,46
"469",6,10,7,11,10,0,2
"470",182,129,117,190,219,519,626
"471",0,1,0,1,4,10,13
"472",1,1,1,0,2,3,5
"473",3,2,1,0,1,2,0
"474",4,10,22,12,11,16,15
"475",11,5,8,7,6,20,28
"476",79,103,111,116,148,187,177
"477",17,18,14,14,26,33,30
"478",3,7,6,8,12,11,11
"479",2,2,1,4,2,3,3
"480",45,37,31,36,141,171,126
"481",5,3,7,5,7,7,5
"482",2,4,1,1,2,1,2
"483",0,0,2,0,0,0,0
"484",63,68,50,52,69,140,161
"485",1,3,0,2,2,2,1
"486",9,12,7,21,16,19,7
"487",61,60,66,79,65,91,54
"488",5,0,5,6,5,2,1
"489",6,10,10,2,8,16,11
"490",84,73,81,99,69,152,170
"491",50,35,26,40,31,30,26
"492",90,90,86,81,98,126,213
"493",0,0,0,1,2,1,1
"494",6,8,1,4,6,4,3
"495",18,14,13,22,24,37,23
"496",22,22,26,22,30,37,30
"497",0,0,3,0,2,2,3
"498",37,23,25,23,38,100,113
"499",35,88,91,126,126,203,118
"500",4,5,6,6,4,11,4
"501",23,26,27,27,42,69,76
"502",24,15,29,21,26,18,18
"503",0,4,10,6,8,12,4
"504",6,3,4,3,10,11,10
"505",49,52,60,67,70,101,70
"506",1,0,1,0,1,0,0
"507",7,23,4,4,3,15,6
"508",7,10,7,14,7,8,7
"509",0,0,0,0,0,0,1
"510",0,3,4,2,1,3,0
"511",5,7,5,8,7,20,19
"512",2,6,5,5,12,6,9
"513",110,28,120,125,148,198,229
"514",1,1,0,2,0,3,0
"515",0,20,38,44,60,86,52
"516",1126,997,1004,1088,979,1199,1248
"517",80,94,49,105,63,157,171
"518",61,48,63,69,72,98,97
"519",31,35,58,58,67,39,28
"520",1,5,7,4,6,4,3
"521",110,93,125,131,145,79,106
"522",3,1,1,0,4,1,7
"523",2,0,0,1,2,1,4
"524",2,1,4,4,4,7,3
"525",13,8,11,12,14,5,3
"526",28,7,19,30,34,57,48
"527",37,44,46,40,39,44,40
"528",0,0,0,0,0,0,1
"529",97,90,89,103,128,203,190
"530",344,297,319,309,336,534,594
"531",8,6,11,18,14,22,16
"532",2,0,1,0,0,1,0
"533",6,0,0,0,0,10,15
"534",67,70,75,67,54,53,44
"535",5,3,4,5,7,5,7
"536",577,516,503,530,609,1162,1115
"537",22,38,41,39,37,32,37
"538",36,42,49,32,46,48,57
"539",7,1,6,1,4,5,4
"540",22,38,42,26,62,84,76
"541",64,45,62,73,74,123,124
"542",1,3,3,4,5,2,6
"543",44,58,88,112,106,174,187
"544",0,0,1,0,0,0,1
"545",4,2,1,6,2,8,5
"546",11,29,11,18,16,15,16
"547",39,33,38,42,57,62,40
"548",19,20,25,13,23,20,25
"549",7,1,5,2,6,6,8
"550",13,23,24,20,20,21,8
"551",2,0,0,0,0,1,0
"552",58,46,66,63,62,76,105
"553",130,107,120,151,201,236,259
"554",43,32,30,28,57,53,52
"555",2,1,2,1,5,5,4
"556",3,3,3,3,5,8,7
"557",9,13,6,6,11,13,12
"558",270,243,251,267,316,497,445
"559",2,3,4,5,4,7,1
"560",13,17,12,8,4,1,2
"561",9,6,10,12,9,8,7
"562",11,28,32,29,30,12,10
"563",5,2,2,4,4,7,5
"564",3,3,7,2,2,0,3
"565",16,22,25,22,25,17,7
"566",9,11,10,16,17,2,0
"567",116,119,122,104,117,189,159
"568",53,40,45,42,49,78,104
"569",30,31,33,29,32,98,91
"570",94,73,77,100,103,171,180
"571",7,8,3,3,5,9,11
"572",7,4,16,8,16,31,45
"573",0,3,2,1,4,2,0
"574",8,5,1,1,2,3,2
"575",27,22,19,22,38,56,38
"576",70,128,118,131,153,158,54
"577",3,6,2,3,7,5,2
"578",3,12,10,9,13,18,14
"579",2,5,6,0,6,6,7
"580",37,25,45,36,54,109,121
"581",23,35,44,37,34,46,39
"582",103,83,83,87,97,104,113
"583",67,60,56,60,70,64,47
"584",455,321,274,258,323,537,867
"585",31,34,35,42,61,56,61
"586",0,1,0,0,1,0,2
"587",48,66,72,103,87,103,22
"588",6,1,2,1,2,7,1
"589",3,7,2,0,3,4,16
"590",8,16,15,26,20,17,18
"591",56,47,53,38,47,40,40
"592",23,11,17,19,22,48,28
"593",21,21,22,43,31,36,40
"594",130,156,141,165,174,214,153
"595",0,1,1,0,2,3,0
"596",128,119,112,145,136,127,121
"597",150,147,122,155,166,304,212
"598",60,48,61,67,60,149,157
"599",3,2,3,2,1,3,4
"600",0,0,0,1,0,0,0
"601",2,11,6,13,4,1,0
"602",26,20,40,36,28,33,36
"603",64,52,66,72,92,106,87
"604",1,0,1,0,3,2,2
"605",61,78,69,63,65,81,69
"606",6,11,10,17,21,12,10
"607",3,1,2,0,2,1,2
"608",680,650,626,572,792,1015,1089
"609",6,5,7,5,4,3,5
"610",1,3,1,3,3,4,0
"611",13,7,4,6,9,48,47
"612",12,11,5,13,8,21,20
"613",19,21,38,25,20,44,39
"614",76,37,30,48,48,93,74
"615",61,59,57,56,56,59,139
"616",2,0,0,0,3,24,22
"617",0,3,0,5,2,1,1
"618",4,5,5,4,6,0,0
"619",1,0,0,2,1,5,2
"620",2,1,0,1,3,5,1
"621",1,1,0,0,0,0,3
"622",143,100,149,143,157,198,189
"623",14,16,16,16,14,17,17
"624",48,35,30,17,44,62,85
"625",1,1,5,0,2,2,3
"626",0,1,1,0,1,1,1
"627",92,82,84,100,73,126,145
"628",0,4,1,3,2,4,1
"629",14,24,17,19,27,37,21
"630",40,89,146,211,216,175,74
"631",11,6,12,19,25,42,30
"632",3,9,8,7,8,9,13
"633",22,56,55,49,55,56,31
"634",1,0,1,0,1,0,0
"635",16,16,7,13,27,27,32
"636",46,47,54,55,45,69,88
"637",2,5,0,0,2,1,5
"638",329,339,381,381,441,587,634
"639",510,440,390,370,432,616,625
"640",144,126,135,136,141,254,259
"641",17,24,32,32,25,0,0
"642",3,4,0,0,5,1,1
"643",12,5,11,20,15,24,20
"644",5,6,10,7,8,8,7
"645",0,1,1,0,1,0,0
"646",40,32,30,24,26,32,42
"647",1,1,3,1,1,0,1
"648",22,38,55,45,42,51,35
"649",4,7,21,21,31,34,48
"650",16,21,21,15,16,16,10
"651",0,0,1,0,1,0,0
"652",0,0,1,1,0,0,0
"653",7,2,7,4,13,12,22
"654",2,9,4,9,10,11,18
"655",0,0,1,0,0,1,0
"656",32,22,24,20,31,100,62
"657",3,9,7,8,7,12,21
"658",0,0,0,2,1,1,1
"659",23,42,27,27,17,48,59
"660",8,5,12,7,11,13,11
"661",397,324,314,333,426,724,832
"662",0,3,2,1,2,4,0
"663",70,40,30,34,60,66,72
"664",0,0,3,1,0,1,1
"665",2,1,5,2,5,3,7
"666",11,3,2,2,1,1,10
"667",4,4,3,2,2,6,2
"668",25,67,60,44,73,186,173
"669",0,1,1,1,2,2,1
"670",74,77,74,81,86,112,93
"671",3,2,2,1,3,0,2
"672",26,36,46,35,54,70,76
"673",57,55,68,56,45,34,8
"674",5,3,9,5,7,10,11
"675",44,85,57,67,45,66,37
"676",7,0,0,0,7,9,3
"677",0,0,2,1,2,1,1
"678",70,49,44,48,56,99,73
"679",11,11,8,7,14,17,25
"680",0,1,0,0,0,0,0
"681",483,354,303,356,465,648,730
"682",1,1,2,2,1,0,3
"683",15,7,6,8,12,24,20
"684",27,39,39,56,27,41,41
"685",9,7,5,2,1,5,2
"686",50,48,51,45,56,53,57
"687",0,0,2,2,3,3,2
"688",2,5,5,7,2,4,0
"689",13,11,5,14,8,12,13
"690",2,1,0,0,1,2,1
"691",9,11,28,14,20,15,23
"692",5,13,12,9,3,1,0
"693",0,1,0,1,1,0,1
"694",51,38,45,67,70,131,128
"695",89,89,105,120,105,133,99
"696",35,48,53,55,74,109,131
"697",403,430,540,586,676,701,755
"698",14,16,27,31,54,14,19
"699",0,0,0,0,1,0,0
"700",0,4,1,0,1,11,16
"701",1,1,0,1,0,2,0
"702",35,25,23,24,44,66,74
"703",6,11,22,11,14,14,5
"704",33,28,39,26,37,37,4
"705",51,36,35,33,58,42,33
"706",1,0,0,1,1,1,2
"707",47,28,42,45,36,55,61
"708",2,1,4,5,3,0,5
"709",0,1,0,1,1,4,4
"710",12,17,11,19,10,10,9
"711",1,4,1,1,0,0,0
"712",1,0,0,2,0,0,0
"713",1,2,0,2,0,0,1
"714",37,22,32,23,31,30,20
"715",6,11,8,5,7,0,0
"716",24,48,35,38,55,38,28
"717",126,114,102,111,139,95,85
"718",0,0,1,2,0,0,1
"719",426,435,519,456,719,1246,1302
"720",5,3,3,10,2,0,1
"721",3,7,12,10,15,20,23
"722",10,13,16,9,15,23,34
"723",32,25,31,19,34,14,22
"724",79,76,64,80,92,194,206
"725",7,11,7,10,7,24,24
"726",2,2,3,3,5,11,4
"727",13,2,10,8,6,5,6
"728",12,8,19,23,28,17,10
"729",62,58,70,69,72,40,39
"730",45,50,33,52,47,46,42
"731",5,7,12,3,5,4,1
"732",6,2,3,5,2,8,7
"733",10,6,15,13,15,28,21
"734",10,8,18,7,8,13,10
"735",1,2,1,2,3,4,1
"736",3,5,5,3,4,4,3
"737",6,6,4,7,8,8,8
"738",476,384,391,389,472,724,825
"739",0,0,1,6,5,3,5
"740",5,11,6,3,6,16,7
"741",12,15,19,14,26,36,41
"742",2,2,3,2,2,2,2
"743",19,23,21,31,44,44,48
"744",6,7,9,10,7,6,7
"745",2,3,6,2,1,1,3
"746",4,5,8,2,6,8,7
"747",16,11,15,15,17,20,20
"748",0,0,0,0,0,0,1
"749",1,0,2,2,0,8,3
"750",7,4,9,6,9,5,12
"751",2,3,11,5,5,11,3
"752",71,123,123,137,123,171,83
"753",15,12,13,24,15,22,16
"754",9,8,11,12,13,6,6
"755",0,2,3,1,1,1,1
"756",54,70,61,66,71,36,18
"757",0,0,3,0,1,1,2
"758",48,49,42,49,49,41,50
"759",10,11,4,12,10,8,16
"760",5,4,7,0,6,0,5
"761",15,10,18,16,9,14,17
"762",2,0,0,2,1,0,2
"763",71,48,62,55,87,80,96
"764",0,0,0,1,0,0,0
"765",0,2,1,1,3,9,2
"766",241,194,245,269,256,205,185
"767",33,27,23,24,28,52,59
"768",2,0,1,0,1,4,2
"769",8,6,3,7,11,13,6
"770",6,3,1,1,2,4,5
"771",0,1,0,1,4,1,3
"772",12,6,7,6,8,10,7
"773",109,115,113,148,143,189,224
"774",174,142,166,173,201,262,255
"775",246,163,45,163,148,244,400
"776",65,34,45,24,39,77,93
"777",28,43,34,40,31,54,17
"778",201,121,81,100,105,200,161
"779",5,7,9,8,9,9,8
"780",12,8,8,12,17,12,8
"781",13,12,16,11,26,32,52
"782",104,71,72,80,99,137,205
"783",0,0,1,1,5,1,4
"784",13,15,7,6,8,11,19
"785",4,5,2,3,6,8,5
"786",13,23,22,16,18,27,22
"787",0,0,0,0,0,1,0
"788",22,29,36,26,25,29,15
"789",2,2,3,1,2,2,3
"790",3,3,1,2,6,2,5
"791",2,0,0,0,0,4,1
"792",1,0,1,4,1,7,7
"793",1,2,2,6,1,1,3
"794",23,18,16,21,28,12,15
"795",0,0,1,1,0,0,0
"796",35,29,40,38,30,42,50
"797",81,79,67,63,83,59,64
"798",1,2,0,3,0,2,1
"799",2,2,1,2,3,2,0
"800",34,38,30,41,36,33,43
"801",8,5,13,12,5,11,4
"802",18,12,31,12,5,0,0
"803",14,16,9,10,14,15,13
"804",15,5,9,12,7,6,21
"805",0,1,2,1,0,0,0
"806",89,115,94,93,116,196,6
"807",4,2,1,1,0,5,1
"808",0,0,0,0,1,0,0
"809",1,3,2,0,2,5,2
"810",4,4,4,6,7,27,28
"811",785,596,635,673,702,819,874
"812",0,0,0,1,0,1,1
"813",3,4,7,5,7,15,12
