"","Checkin_day","Checkin_night"
"182",29,14
"183",40,429
"184",3,5
"185",85,902
"186",143,257
"187",4,7
"188",16,824
"189",20,371
"190",19,9
"191",20,41
"192",6,2
"193",71,1121
"194",1,3
"195",0,3
"196",33,294
"197",2,26
"198",3,1
"199",4,0
"200",59,120
"201",2,16
"202",10,34
"203",10,15
"204",0,2
"205",1,8
"206",5,37
"207",17,4
"208",49,95
"209",0,2
"210",8,132
"211",607,1223
"212",17,162
"213",48,15
"214",0,4
"215",67,24
"216",14,34
"217",62,134
"218",14,16
"219",9,5
"220",61,71
"221",0,1
"222",3,8
"223",84,578
"224",7,3
"225",1,1
"226",5,25
"227",4,8
"228",1622,1183
"229",6,23
"230",28,163
"231",8,7
"232",8,0
"233",2,3
"234",168,2
"235",44,52
"236",10,11
"237",10,16
"238",10,14
"239",168,309
"240",16,16
"241",95,888
"242",51,277
"243",38,382
"244",34,46
"245",14,66
"246",12,99
"247",247,2534
"248",9,8
"249",24,11
"250",1,2
"251",599,3146
"252",7,18
"253",28,75
"254",104,33
"255",360,264
"256",0,3
"257",33,73
"258",174,2008
"259",8,46
"260",17,177
"261",54,56
"262",24,123
"263",27,35
"264",11,72
"265",106,971
"266",2,4
"267",124,936
"268",15,75
"269",32,348
"270",2,2
"271",19,0
"272",64,206
"273",141,1835
"274",931,318
"275",45,17
"276",253,1559
"277",3,9
"278",2,8
"279",0,5
"280",1,2
"281",93,76
"282",20,234
"283",35,192
"284",15,65
"285",150,24
"286",52,74
"287",667,7053
"288",88,395
"289",6,77
"290",156,244
"291",291,113
"292",17,13
"293",25,464
"294",1,18
"295",1,11
"296",166,744
"297",0,2
"298",2,20
"299",2,5
"300",11,0
"301",82,229
"302",0,10
"303",0,108
"304",12,1
"305",37,140
"306",5,25
"307",71,528
"308",362,61
"309",59,166
"310",60,248
"311",23,78
"312",49,98
"313",1,8
"314",3,14
"315",50,385
"316",90,606
"317",13,29
"318",383,171
"319",11,15
"320",7,71
"321",35,16
"322",47,250
"323",0,34
"324",339,42
"325",11,5
"326",21,55
"327",7,80
"328",15,4
"329",6,11
"330",16,55
"331",1115,1183
"332",3,29
"333",30,78
"334",9,11
"335",37,73
"336",11,53
"337",18,6
"338",4,5
"339",376,135
"340",53,117
"341",6,9
"342",6,3
"343",10,0
"344",470,220
"345",14,17
"346",225,112
"347",37,115
"348",0,1
"349",109,170
"350",158,1687
"351",34,56
"352",45,155
"353",23,160
"354",40,312
"355",177,1708
"356",0,1
"357",12,98
"358",3,66
"359",19,89
"360",0,4
"361",11,16
"362",4,47
"363",44,162
"364",7,16
"365",95,222
"366",0,2
"367",261,864
"368",0,5
"369",71,85
"370",0,1
"371",9,109
"372",2,13
"373",78,1045
"374",58,53
"375",38,558
"376",18,231
"377",3,6
"378",3,5
"379",31,36
"380",75,658
"381",490,43
"382",3,25
"383",17,154
"384",87,303
"385",86,7
"386",232,2801
"387",0,2
"388",1,3
"389",1,13
"390",43,27
"391",50,35
"392",18,54
"393",1,14
"394",58,315
"395",1,501
"396",10,78
"397",48,491
"398",2,0
"399",3,1
"400",5,0
"401",16,73
"402",51,306
"403",29,46
"404",17,54
"405",8,9
"406",3,3
"407",0,3
"408",55,75
"409",22,220
"410",15,659
"411",4,9
"412",19,974
"413",121,1033
"414",38,141
"415",7,17
"416",2,3
"417",22,129
"418",90,414
"419",130,858
"420",37,727
"421",18,145
"422",14,66
"423",3,48
"424",87,71
"425",6,16
"426",76,427
"427",109,458
"428",11,20
"429",37,59
"430",36,112
"431",730,2423
"432",1,2
"433",2,2
"434",367,2212
"435",300,133
"436",16,13
"437",0,3
"438",10,46
"439",5,19
"440",80,155
"441",12,6
"442",0,1
"443",11,5
"444",2,26
"445",6,3
"446",15,31
"447",2,87
"448",3,19
"449",21,14
"450",8,21
"451",200,709
"452",45,2072
"453",4,39
"454",4,91
"455",1006,1542
"456",53,588
"457",47,396
"458",639,1926
"459",0,32
"460",88,27
"461",33,307
"462",75,583
"463",60,226
"464",4,34
"465",32,523
"466",5,16
"467",61,64
"468",84,180
"469",43,3
"470",300,1682
"471",6,23
"472",5,8
"473",3,6
"474",2,88
"475",55,30
"476",151,770
"477",5,147
"478",4,54
"479",0,17
"480",51,536
"481",8,31
"482",2,11
"483",2,0
"484",49,554
"485",3,8
"486",27,64
"487",80,396
"488",2,22
"489",32,31
"490",171,557
"491",8,230
"492",54,730
"493",4,1
"494",3,29
"495",85,66
"496",24,165
"497",0,10
"498",338,21
"499",53,734
"500",24,16
"501",76,214
"502",76,75
"503",19,25
"504",17,30
"505",38,431
"506",0,3
"507",1,61
"508",30,30
"509",0,1
"510",2,11
"511",68,3
"512",25,20
"513",60,898
"514",4,3
"515",25,275
"516",901,6740
"517",426,293
"518",235,273
"519",119,197
"520",14,16
"521",272,517
"522",2,15
"523",5,5
"524",6,19
"525",18,48
"526",62,161
"527",187,103
"528",1,0
"529",611,289
"530",1118,1615
"531",1,94
"532",3,1
"533",23,8
"534",93,337
"535",18,18
"536",1154,3858
"537",31,215
"538",181,129
"539",10,18
"540",218,132
"541",25,540
"542",12,12
"543",108,661
"544",0,2
"545",3,25
"546",71,45
"547",23,288
"548",9,136
"549",1,34
"550",8,121
"551",0,3
"552",14,462
"553",17,1187
"554",251,44
"555",7,13
"556",22,10
"557",19,51
"558",132,2157
"559",9,17
"560",46,11
"561",3,58
"562",123,29
"563",10,19
"564",10,10
"565",110,24
"566",7,58
"567",674,252
"568",121,290
"569",52,292
"570",101,697
"571",44,2
"572",44,83
"573",5,7
"574",4,18
"575",95,127
"576",137,675
"577",7,21
"578",18,61
"579",7,25
"580",160,267
"581",73,185
"582",98,572
"583",303,121
"584",150,2885
"585",90,230
"586",1,3
"587",178,323
"588",15,5
"589",4,31
"590",38,82
"591",38,283
"592",7,161
"593",27,187
"594",410,723
"595",2,5
"596",657,231
"597",130,1126
"598",323,279
"599",7,11
"600",1,0
"601",36,1
"602",63,156
"603",38,501
"604",3,6
"605",48,438
"606",22,65
"607",6,5
"608",1241,4183
"609",1,34
"610",6,9
"611",123,11
"612",2,88
"613",10,196
"614",20,386
"615",33,454
"616",1,50
"617",10,2
"618",22,2
"619",4,7
"620",5,8
"621",5,0
"622",100,979
"623",31,79
"624",172,149
"625",1,13
"626",2,3
"627",56,646
"628",6,9
"629",24,135
"630",87,864
"631",34,111
"632",21,36
"633",9,315
"634",0,3
"635",65,73
"636",91,313
"637",5,10
"638",387,2705
"639",977,2406
"640",715,480
"641",30,100
"642",2,12
"643",35,72
"644",15,36
"645",2,1
"646",8,218
"647",7,1
"648",53,235
"649",9,157
"650",86,29
"651",1,1
"652",1,1
"653",48,19
"654",29,34
"655",2,0
"656",74,217
"657",15,52
"658",3,2
"659",35,208
"660",8,59
"661",254,3096
"662",5,7
"663",27,345
"664",4,2
"665",1,24
"666",17,13
"667",5,18
"668",181,447
"669",3,5
"670",42,555
"671",11,2
"672",6,337
"673",248,75
"674",4,46
"675",21,380
"676",4,22
"677",1,6
"678",50,389
"679",30,63
"680",1,0
"681",1093,2246
"682",0,10
"683",8,84
"684",166,104
"685",4,27
"686",27,333
"687",0,12
"688",3,22
"689",9,67
"690",1,6
"691",35,85
"692",32,11
"693",3,1
"694",38,492
"695",46,694
"696",91,414
"697",906,3185
"698",10,165
"699",0,1
"700",23,10
"701",1,4
"702",207,84
"703",25,58
"704",123,81
"705",103,185
"706",0,6
"707",38,276
"708",1,19
"709",10,1
"710",46,42
"711",3,4
"712",0,3
"713",3,3
"714",34,161
"715",35,2
"716",30,236
"717",363,409
"718",3,1
"719",791,4312
"720",18,6
"721",19,71
"722",35,85
"723",79,98
"724",534,257
"725",7,83
"726",10,20
"727",5,45
"728",34,83
"729",293,117
"730",32,283
"731",28,9
"732",15,18
"733",30,78
"734",47,27
"735",5,9
"736",6,21
"737",27,20
"738",135,3526
"739",16,4
"740",1,53
"741",50,113
"742",4,11
"743",64,166
"744",12,40
"745",5,13
"746",27,13
"747",6,108
"748",0,1
"749",2,14
"750",7,45
"751",18,22
"752",65,766
"753",7,110
"754",13,52
"755",1,8
"756",78,298
"757",4,3
"758",39,289
"759",8,63
"760",21,6
"761",3,96
"762",1,6
"763",146,353
"764",0,1
"765",2,16
"766",242,1353
"767",24,222
"768",1,9
"769",7,47
"770",9,13
"771",2,8
"772",20,36
"773",354,687
"774",47,1326
"775",137,1272
"776",111,266
"777",65,182
"778",180,789
"779",23,32
"780",30,47
"781",104,58
"782",33,735
"783",0,12
"784",11,68
"785",8,25
"786",45,96
"787",0,1
"788",61,121
"789",0,15
"790",5,17
"791",0,7
"792",17,4
"793",10,6
"794",34,99
"795",2,0
"796",27,237
"797",79,417
"798",4,5
"799",4,8
"800",78,177
"801",5,53
"802",20,58
"803",29,62
"804",13,62
"805",0,4
"806",582,127
"807",2,12
"808",1,0
"809",4,11
"810",6,74
"811",824,4260
"812",0,3
"813",26,27
"814",29,432
"815",986,801
"816",237,169
"817",75,1308
"818",222,987
"819",67,296
"820",57,1804
"821",13,776
"822",3,81
"823",0,7
"824",5,3
"825",54,40
"826",34,101
"827",17,101
"828",21,72
"829",23,223
"830",96,129
"831",4,32
"832",4,5
"833",0,1
"834",964,2819
"835",16,7
"836",15,6
"837",120,1055
"838",27,35
"839",15,57
"840",4,3
"841",13,28
"842",14,15
"843",106,677
"844",30,10
"845",18,81
"846",3,13
"847",72,943
"848",9,336
"849",37,100
"850",99,718
"851",160,455
"852",49,143
"853",28,7
"854",0,5
"855",6,47
"856",11,130
"857",8,29
"858",0,8
"859",228,57
"860",55,545
"861",2,16
"862",368,5
"863",34,86
"864",5,13
"865",0,3
"866",43,80
"867",4,2
"868",5,323
"869",16,48
"870",69,650
"871",4,8
"872",2,8
"873",118,72
"874",0,8
"875",47,707
"876",68,127
"877",69,625
"878",13,50
"879",133,2435
"880",3,63
"881",1,3
"882",7,280
"883",61,172
"884",33,35
"885",16,216
"886",109,113
"887",21,102
"888",2,5
"889",125,1977
"890",2,0
"891",35,22
"892",47,59
"893",60,122
"894",12,36
"895",191,600
"896",16,55
"897",14,14
"898",41,15
"899",1,12
"900",13,37
"901",103,150
"902",70,24
"903",9,104
"904",18,69
"905",27,40
"906",3,59
"907",6,141
"908",0,2
"909",30,24
"910",29,15
"911",5,2
"912",97,871
"913",570,2598
"914",72,791
"915",149,590
"916",75,100
"917",112,982
"918",37,38
"919",0,13
"920",10,3
"921",47,5
"922",2,48
"923",288,1609
"924",7,76
"925",15,75
"926",68,249
"927",10,69
"928",65,368
"929",3,6
"930",10,13
"931",1,24
"932",1,2
"933",13,107
"934",56,1034
"935",57,184
"936",11,43
"937",312,575
"938",2,14
"939",0,5
"940",2,11
"941",0,4
"942",61,274
"943",8,15
"944",2,0
"945",14,157
"946",70,443
"947",434,89
"948",94,645
"949",26,266
"950",1,5
"951",156,393
"952",2,2
"953",0,4
"954",16,464
"955",1,0
"956",14,27
"957",13,37
"958",13,9
"959",3,23
"960",187,136
"961",46,91
"962",0,2
"963",19,32
"964",7,171
"965",1224,971
"966",0,2
"967",82,203
"968",32,509
"969",63,375
"970",85,49
"971",14,7
"972",19,181
"973",26,146
"974",14,417
"975",81,638
"976",33,205
"977",70,57
"978",12,6
"979",21,229
"980",66,234
"981",7,342
"982",0,4
"983",126,515
"984",2,34
"985",172,186
"986",9,6
"987",65,84
"988",20,431
"989",42,39
"990",3,63
"991",297,764
"992",1,30
"993",91,62
"994",37,589
"995",3,1
"996",0,11
"997",24,139
"998",7,2
"999",35,92
"1000",73,41
"1001",32,372
"1002",150,954
"1003",5,6
"1004",4,8
"1005",1,63
"1006",0,2
"1007",8,9
"1008",170,219
"1009",12,9
"1010",49,149
"1011",23,105
"1012",0,9
"1013",27,13
"1014",59,701
"1015",1,7
"1016",53,275
"1017",472,1161
"1018",3,3
"1019",11,59
"1020",19,40
"1021",48,115
"1022",36,281
"1023",2,2
"1024",0,19
"1025",1,0
"1026",48,678
"1027",10,72
"1028",39,522
"1029",2,23
"1030",3,34
"1031",48,101
"1032",18,39
"1033",109,869
"1034",26,600
"1035",6,284
"1036",208,432
"1037",14,31
"1038",113,684
"1039",27,9
"1040",6,17
"1041",67,48
"1042",195,71
"1043",4,16
"1044",7,5
"1045",102,379
"1046",0,3
"1047",54,59
"1048",35,71
"1049",20,10
"1050",28,387
"1051",115,1220
"1052",37,529
"1053",25,55
"1054",93,70
"1055",317,3757
"1056",34,207
"1057",58,215
"1058",32,38
"1059",34,262
"1060",5,47
"1061",207,844
"1062",2,5
"1063",1,17
"1064",5,2
"1065",17,299
"1066",7,54
"1067",121,1413
"1068",0,23
"1069",1,31
"1070",0,25
"1071",386,363
"1072",0,10
"1073",100,496
"1074",64,138
"1075",14,19
"1076",23,65
"1077",20,9
"1078",3,4
"1079",6,13
"1080",38,146
"1081",316,62
"1082",2,1
"1083",54,21
"1084",36,196
"1085",114,112
"1086",17,57
"1087",65,301
"1088",200,671
"1089",61,126
"1090",111,425
"1091",86,177
"1092",204,174
"1093",13,71
"1094",0,39
"1095",3,4
"1096",10,2
"1097",2,42
"1098",10,79
"1099",5,8
"1100",14,80
"1101",263,729
"1102",12,264
"1103",115,117
"1104",2,9
"1105",44,98
"1106",36,16
"1107",249,136
"1108",25,117
"1109",28,267
"1110",9,49
"1111",33,41
"1112",2,28
"1113",2,11
"1114",1,9
"1115",23,142
"1116",9,1
"1117",74,90
"1118",23,29
"1119",7,69
"1120",17,32
"1121",2,12
"1122",3,28
"1123",46,117
"1124",32,18
"1125",65,454
"1126",250,327
"1127",58,70
"1128",10,3
"1129",2,1
"1130",9,48
"1131",3,19
"1132",11,5
"1133",166,164
"1134",26,273
"1135",32,10
"1136",13,1220
"1137",20,21
"1138",8,0
"1139",17,82
"1140",6,46
"1141",17,89
"1142",3,53
"1143",14,85
"1144",13,118
"1145",29,47
"1146",4,6
"1147",1,4
"1148",4,12
"1149",2,14
"1150",130,120
"1151",1,8
"1152",19,1
"1153",0,6
"1154",26,226
"1155",12,112
"1156",8,6
"1157",13,34
"1158",25,254
"1159",39,47
"1160",33,27
"1161",45,817
"1162",0,1
"1163",8,57
"1164",454,3959
"1165",111,246
"1166",34,48
"1167",3,227
"1168",13,51
"1169",130,493
"1170",3,7
"1171",10,16
"1172",0,8
"1173",1,2
"1174",68,611
"1175",33,65
"1176",10,66
"1177",6,6
"1178",7,55
"1179",14,52
"1180",295,174
"1181",5,63
"1182",0,1
"1183",65,115
"1184",454,225
"1185",8,30
"1186",592,24
"1187",102,17
"1188",17,13
"1189",3,10
"1190",19,23
"1191",18,135
"1192",33,18
"1193",35,6
"1194",5,33
"1195",2,0
"1196",219,430
"1197",1,4
"1198",1,1
"1199",9,19
"1200",31,253
"1201",183,123
"1202",1,42
"1203",7,4
"1204",0,1
"1205",47,7
"1206",158,720
"1207",83,228
"1208",9,127
"1209",12,9
"1210",5,4
"1211",464,230
"1212",56,141
"1213",73,111
"1214",35,292
"1215",0,1
"1216",12,45
"1217",35,114
"1218",10,93
"1219",52,210
"1220",129,249
"1221",1,3
"1222",84,806
"1223",491,711
"1224",32,11
"1225",9,5
"1226",161,434
"1227",57,67
"1228",4,22
"1229",0,6
"1230",15,48
"1231",777,203
"1232",35,50
"1233",30,285
"1234",2,2
"1235",14,48
"1236",43,22
"1237",52,44
"1238",23,52
"1239",128,332
"1240",36,704
"1241",3,6
"1242",1,18
"1243",53,47
"1244",84,1118
"1245",61,24
"1246",117,505
"1247",1,1
"1248",73,35
"1249",0,4
"1250",0,56
"1251",6,64
"1252",15,25
"1253",65,14
"1254",41,110
"1255",20,11
"1256",17,67
"1257",19,58
"1258",3,0
"1259",26,62
"1260",32,28
"1261",48,162
"1262",1,13
"1263",4,9
"1264",2,66
"1265",2,67
"1266",10,8
"1267",0,1
"1268",2,5
"1269",35,169
"1270",0,3
"1271",16,70
"1272",26,279
"1273",37,80
"1274",167,310
"1275",7,91
"1276",38,36
"1277",6,12
"1278",1,4
"1279",8,2
"1280",1,2
"1281",10,80
"1282",30,14
"1283",11,81
"1284",11,31
"1285",6,24
"1286",72,70
"1287",588,658
"1288",754,742
"1289",177,159
"1290",22,65
"1291",53,173
"1292",38,114
"1293",8,21
"1294",22,37
"1295",31,13
"1296",34,252
"1297",166,473
"1298",6,31
"1299",21,65
"1300",222,1340
"1301",327,1911
"1302",16,45
"1303",38,176
"1304",16,162
"1305",19,24
"1306",22,85
"1307",30,1243
"1308",25,21
"1309",1,2
"1310",7,14
"1311",109,344
"1312",54,88
"1313",19,246
"1314",6,54
"1315",22,195
"1316",86,4
"1317",450,518
"1318",425,1134
"1319",11,17
"1320",35,379
"1321",125,1028
"1322",46,552
"1323",42,222
"1324",19,104
"1325",1,3
"1326",6,32
"1327",0,9
"1328",14,39
"1329",70,290
"1330",929,293
"1331",90,294
"1332",42,182
"1333",6,4
"1334",229,48
"1335",205,269
"1336",2,29
"1337",16,38
"1338",57,202
"1339",0,1
"1340",2,7
"1341",22,59
"1342",146,416
"1343",16,6
"1344",87,460
"1345",24,587
"1346",5,4
"1347",165,3393
"1348",64,296
"1349",48,132
"1350",137,200
"1351",17,380
"1352",13,11
"1353",8,120
"1354",5,7
"1355",9,253
"1356",27,305
"1357",92,404
"1358",0,2
"1359",0,4
"1360",2,116
"1361",85,113
"1362",1,6
"1363",5,4
"1364",2,22
"1365",9,98
"1366",39,134
"1367",5,150
"1368",2,16
"1369",8,71
"1370",9,1
"1371",120,137
"1372",9,10
"1373",6,221
"1374",0,8
"1375",0,2
"1376",2,19
"1377",19,5
"1378",22,511
"1379",279,1127
"1380",7,72
"1381",56,597
"1382",50,32
"1383",952,1790
"1384",1,4
"1385",36,19
"1386",59,61
"1387",13,90
"1388",24,64
"1389",2,31
"1390",1,12
"1391",4,10
"1392",10,32
"1393",104,90
"1394",11,36
"1395",33,89
"1396",116,350
"1397",26,548
"1398",38,91
"1399",25,31
"1400",40,188
"1401",6,7
"1402",11,31
"1403",33,118
"1404",58,299
"1405",10,94
"1406",3,4
"1407",62,137
"1408",15,21
"1409",3,0
"1410",16,221
"1411",53,369
"1412",0,1
"1413",1,5
"1414",10,54
"1415",56,61
"1416",17,6
"1417",14,54
"1418",77,427
"1419",15,24
"1420",0,32
"1421",5,2
"1422",28,771
"1423",2,6
"1424",8,103
"1425",81,324
"1426",1,23
"1427",24,169
"1428",92,499
"1429",5,24
"1430",1,2
"1431",1,18
"1432",77,36
"1433",0,1
"1434",2,34
"1435",2,52
"1436",15,32
"1437",33,264
"1438",5,6
"1439",30,43
"1440",9,108
"1441",30,83
"1442",37,35
"1443",18,433
"1444",62,18
"1445",90,106
"1446",113,234
"1447",14,354
"1448",0,6
"1449",0,10
"1450",9,11
"1451",943,4975
"1452",9,2
"1453",19,0
"1454",1,3
"1455",77,195
"1456",12,24
"1457",1,11
"1458",1,73
"1459",9,43
"1460",110,1011
"1461",1,48
"1462",33,19
"1463",2,9
"1464",182,271
"1465",18,20
"1466",236,1381
"1467",60,376
"1468",176,50
"1469",36,19
"1470",26,295
"1471",1,17
"1472",52,335
"1473",16,7
"1474",0,2
"1475",9,22
"1476",230,587
"1477",64,421
"1478",14,16
"1479",10,32
"1480",297,565
"1481",151,1862
"1482",205,3741
"1483",17,17
"1484",47,89
"1485",61,81
"1486",293,867
"1487",6,4
"1488",41,145
"1489",8,24
"1490",217,22
"1491",12,11
"1492",19,99
"1493",55,86
"1494",5,12
"1495",1,27
"1496",2,25
"1497",1,6
"1498",70,89
"1499",0,7
"1500",3,12
"1501",72,48
"1502",91,1237
"1503",43,120
"1504",2,18
"1505",42,187
"1506",2,3
"1507",6,64
"1508",5,4
"1509",36,298
"1510",0,77
"1511",25,44
"1512",3,2
"1513",5,19
"1514",16,53
"1515",59,39
"1516",8,22
"1517",94,193
"1518",4,27
"1519",2,2
"1520",5,15
"1521",0,6
"1522",2,31
"1523",0,12
"1524",1,7
"1525",36,324
"1526",27,222
"1527",34,942
"1528",26,113
"1529",7,1
"1530",93,117
"1531",6,44
"1532",4,2
"1533",90,1247
"1534",66,72
"1535",55,289
"1536",3,9
"1537",11,118
"1538",4,14
"1539",157,438
"1540",18,295
"1541",152,334
"1542",29,14
"1543",295,93
"1544",29,66
"1545",50,50
"1546",29,2
"1547",7,67
"1548",81,112
"1549",0,16
"1550",11,11
"1551",1,14
"1552",55,1014
"1553",15,26
"1554",686,4482
"1555",20,21
"1556",69,112
"1557",2,0
"1558",1,0
"1559",2,14
"1560",16,232
"1561",177,390
"1562",0,4
"1563",6,10
"1564",22,72
"1565",4,6
"1566",21,141
"1567",14,19
"1568",10,99
"1569",0,5
"1570",8,24
"1571",34,17
"1572",6,22
"1573",1873,7516
"1574",6,28
"1575",22,36
"1576",34,176
"1577",11,29
"1578",1,1
"1579",212,51
"1580",3,4
"1581",59,341
"1582",158,291
"1583",7,67
"1584",40,10
"1585",23,89
"1586",33,570
"1587",63,42
"1588",27,130
"1589",159,825
"1590",94,297
"1591",79,79
"1592",7,40
"1593",23,122
"1594",36,141
"1595",33,40
"1596",1,28
"1597",2,25
"1598",52,208
"1599",0,10
"1600",22,14
"1601",41,33
"1602",34,254
"1603",5,128
"1604",11,48
"1605",8,89
"1606",8,38
"1607",34,115
"1608",56,240
"1609",5,187
"1610",5,22
"1611",7,7
"1612",9,47
"1613",0,5
"1614",27,36
"1615",5,84
"1616",2,34
"1617",10,51
"1618",38,405
"1619",6,28
"1620",663,659
"1621",0,12
"1622",23,69
"1623",8,9
"1624",13,37
"1625",117,2309
"1626",123,201
"1627",44,39
"1628",97,696
"1629",155,320
"1630",51,46
"1631",22,105
"1632",128,1192
"1633",3,3
"1634",112,322
"1635",23,256
"1636",17,58
"1637",92,1321
"1638",67,656
"1639",13,154
"1640",8,0
"1641",0,8
"1642",6,5
"1643",5,8
"1644",1,10
"1645",2,0
"1646",52,874
"1647",7,4
"1648",82,63
"1649",71,147
"1650",22,7
"1651",253,170
"1652",4,4
"1653",11,49
"1654",54,128
"1655",5,11
"1656",14,102
"1657",25,23
"1658",22,175
"1659",42,8
"1660",33,134
"1661",1,3
"1662",1754,5378
"1663",108,948
"1664",29,112
"1665",51,134
"1666",265,391
"1667",0,12
"1668",178,21
"1669",270,2697
"1670",26,21
"1671",75,1642
"1672",4,2
"1673",6,12
"1674",1,4
"1675",77,522
"1676",92,150
"1677",13,25
"1678",1,10
"1679",38,23
"1680",4,15
"1681",57,105
"1682",11,95
"1683",10,26
"1684",42,39
"1685",20,4
"1686",7,8
"1687",1,2
"1688",0,1
"1689",1,5
"1690",6,2
"1691",3,24
"1692",6,76
"1693",1,0
"1694",288,478
"1695",56,92
"1696",736,7818
"1697",27,38
"1698",201,126
"1699",23,11
"1700",12,19
"1701",33,135
"1702",63,22
"1703",95,2526
"1704",1114,53
"1705",44,55
"1706",13,368
"1707",64,32
"1708",520,315
"1709",15,218
"1710",721,893
"1711",17,14
"1712",31,85
"1713",79,754
"1714",2,27
"1715",101,23
"1716",10,4
"1717",68,131
"1718",19,76
"1719",0,10
"1720",72,292
"1721",591,2655
"1722",1,3
"1723",19,259
"1724",16,110
"1725",9,72
"1726",38,1010
"1727",4,1
"1728",103,132
"1729",27,53
"1730",0,8
"1731",54,491
"1732",31,171
"1733",179,1650
"1734",28,183
"1735",6,3
"1736",9,7
"1737",5,27
"1738",2,3
"1739",94,748
"1740",167,1668
"1741",18,57
"1742",47,1214
"1743",78,84
"1744",2251,3551
"1745",23,85
"1746",76,121
"1747",30,60
"1748",7,22
"1749",61,65
"1750",1,0
"1751",212,260
"1752",5,21
"1753",5,53
"1754",12,33
"1755",11,7
"1756",223,513
"1757",2,10
"1758",64,12
"1759",7,11
"1760",253,2228
"1761",9,136
"1762",170,294
"1763",40,205
"1764",27,31
"1765",26,75
"1766",6,30
"1767",216,24
"1768",17,52
"1769",14,75
"1770",72,470
"1771",3,16
"1772",24,67
"1773",52,215
"1774",31,229
"1775",6,1
"1776",0,3
"1777",12,145
"1778",4,14
"1779",13,24
"1780",26,326
"1781",1,0
"1782",239,129
"1783",25,193
"1784",208,664
"1785",2,0
"1786",102,161
"1787",151,1484
"1788",57,72
"1789",287,1619
"1790",2,33
"1791",5,8
"1792",50,72
"1793",10,45
"1794",8,3
"1795",0,1
"1796",0,2
"1797",20,34
"1798",35,214
"1799",4,2
"1800",21,171
"1801",37,21
"1802",1,17
"1803",10,30
"1804",116,40
"1805",24,498
"1806",3,45
"1807",24,16
"1808",69,547
"1809",8,30
"1810",22,21
"1811",3,9
"1812",19,23
"1813",7,34
"1814",1,0
"1815",4,10
"1816",16,166
"1817",41,188
"1818",6,11
"1819",8,3
"1820",10,55
"1821",14,63
"1822",1007,1371
"1823",50,634
"1824",4,114
"1825",341,554
"1826",34,9
"1827",43,65
"1828",2,2
"1829",32,424
"1830",93,134
"1831",268,3153
"1832",10,4
"1833",9,16
"1834",1,1
"1835",37,130
"1836",105,601
"1837",12,252
"1838",42,375
"1839",13,9
"1840",20,56
"1841",31,245
"1842",15,243
"1843",1,22
"1844",11,25
"1845",2,9
"1846",6,25
"1847",15,19
"1848",2,9
"1849",16,32
"1850",0,12
"1851",9,7
"1852",2,20
"1853",11,12
"1854",55,1155
